signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationSignals_1,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,121.498898843343,-162.62738170741,-19.7833490867168,26832.9737624223,2075.95600915804,3.37289576843415,0.344065247017654,0,2075.68115730988,32537.3195389129,14531960.4192282,49.669528469644,0.00150291334645801,432129.502461454,4167.92810772268,26832.9737624223,720008480.934842,51.2167947924035,0.000701840068931235,27153.8660000537
compassFilter,113.089392634317,-142.889879006153,-20.0165050139588,24099.1573969142,2026.2263262815,3.202321287685,0.375143560495619,0,2025.9580585301,34209.219959848,13143947.1151121,49.260719965343,0.00147494506146186,368016.210946512,4217.04906992047,24099.1573969142,580769387.241247,41.0540904417284,0.000706462011044848,24464.5547942719
fullSystem,117.667591904186,-144.693058067078,-19.8169356771944,23290.9641732881,2057.13640847613,3.18370731671183,0.35532231828272,0,2056.86404830024,33145.980297295,13469277.7946206,49.4931812266529,0.00156335160892169,303229.872468146,4175.00408327568,23290.9641732881,542469012.12139,23.7191760461887,0.000702877599540935,23661.4403198202
gyroFilter,47.8763636739413,-49.1660712179739,0.199569336764414,23290.9641732881,26.2436830275423,33.5413863902528,-2.38756025143824,0,26.2402084236726,-320.926264067443,23094.8725654522,5.1264057919608,0.00256416095416466,303229.872468146,4175.00408327568,23290.9641732881,542469012.12139,23.7191760461887,0.000702877599540935,23661.4403198202
gyroSystem,104.908622970886,-101.65714797568,-17.7671197788781,4773.96335556676,1923.50267198162,3.15706006343309,0.439010027417621,0,1923.24800460812,37027.7545194379,11677595.4425872,47.3172119830102,0.00179010198257565,54641.16890029,-42.0449866447769,4773.96335556676,22790726.1202942,54.6062372018696,0.000915849555525233,4773.99047770257
input,103.207360191415,-102.774450283191,-19.7611526388893,20804.5885015784,2011.55758845198,3.02629948992527,0.407652970037982,0,2011.29126280807,36770.7985319622,12242266.762046,49.0081056196377,0.00156257619351145,177196.422478281,3743.15175833311,20804.5885015784,432830902.720007,10.9335781026407,0.000684353930808128,21137.9618931455
compassSystemError,78.1050108399532,-62.1756292506072,-0.0221964478274841,15812.2413184535,77.1766471061474,19.6839124250425,0.654480232824081,0,77.1664290938204,443.648624649155,117210.962244737,8.78447048922793,0.000776377843430626,345104.190741647,4.67631634998962,15812.2413184535,250026975.513008,148.698632719398,0.00112550246550611,15811.7185904659
compassFilterError,70.3392403111364,-49.5614639913887,-0.255352375069473,13845.7556549006,75.0427862783547,25.3143047463462,2.28124558591763,0,75.0328507843419,1482.68608718842,142517.730731636,8.66591343251221,0.00161738774005145,309888.574164329,53.7972785477658,13845.7556549006,191704949.655213,160.940322532098,0.00108141592564216,13845.4018472864
fullSystemError,44.201155162894,-43.9123193833576,-0.0557830383050597,10650.6242064152,32.5145107657515,20.3735366265828,0.118586064201481,0,32.5102059185695,21.9817991726623,21533.0656765774,5.70204504243277,0.000689586940788023,245573.088330785,11.7522919029891,10650.6242064152,113435795.986277,168.086895624222,0.00119674222994927,10650.2781318126
gyroSystemError,5.70797561339612,0,1.99403286001121,659.9245050649,3.53488258263993,1.8560235240078,0.499042331379257,0,3.53441457223577,3.31599311364989,23.185606163748,2.74054403705547,0.000487306392224067,2803.00285410643,-420.100033039583,659.9245050649,435500.352385154,7.27640014002867,0.00010599650604554,782.275883949477
gyroFilterError,100.742785947089,-99.9601855565198,19.9607219756537,20593.7366062524,1964.36291377229,3.01401554501238,-0.42250946597766,0,1964.10283659583,-36777.5485692926,11627167.625503,48.6058973622047,0.00147518510855298,94762.0427125978,-4205.29677801747,20593.7366062524,424101987.407698,10.4648122363313,0.000705032669965779,21018.0501348618
