compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorsAutoCorrelation,compassFilterErrorsAutoCorrelation,fullSystemErrorsAutoCorrelation,gyroSystemErrorsAutoCorrelation,gyroFilterErrorsAutoCorrelation
-2.9565796019539e-11,1.84786225122119e-12,0,8.08439734909269e-13,0,1.47828980097695e-11,0,-3.69572450244237e-12,4.61965562805297e-13,7.39144900488475e-12
0.00488511384982202,0.00499649306330534,0.00500688512646963,1.03920627023197e-05,0.0044413623178289,-0.000129784413036846,-1.84052328150424e-05,-8.01316595503262e-06,-0.00057353596916766,-0.00500450624034755
0.0147387599055138,0.0150755507287584,0.0152903302306575,0.000214779494507682,0.0135746080029224,-0.000565575021836493,-0.000228784204135457,-1.4004709627775e-05,-0.001729726930087,-0.0150895554365383
0.0271937598193449,0.0278160300416251,0.028391303945451,0.000575273900130202,0.0251993153998185,-0.00119461196046027,-0.000572341736563156,2.93216195016626e-06,-0.00318905638518377,-0.0278130978833707
0.0403102263364764,0.0412325519802315,0.0419720830211032,0.000739531033480215,0.0371989541435762,-0.00161178600013493,-0.00068946037670627,5.0070653309203e-05,-0.00472305819857866,-0.0411824813216097
0.0535532950298003,0.0547765894305138,0.0555876383099646,0.000811048864667851,0.0491973044395092,-0.00191289938188025,-0.000689604977471015,0.000121443879805387,-0.0062688899852219,-0.0546551455654914
0.0669331950697279,0.0684535655355643,0.0692902321424631,0.00083666657548516,0.061229551713618,-0.00212242241416659,-0.000602051970504579,0.000234614603132719,-0.00782606579845638,-0.0682189509361273
0.0808549470643306,0.0826753280347302,0.0836191166576648,0.000943788609999631,0.073786591017057,-0.00237361032752291,-0.000553229358047247,0.000390559250104522,-0.00944196638553717,-0.0822847687846257
0.0969504600239267,0.0991122234346611,0.100242656219514,0.00113043276452652,0.0883598980966896,-0.00271873003137963,-0.000556966607710199,0.000573466162359904,-0.011309291954921,-0.0985387572944756
0.113784874534412,0.116294047573493,0.117717224446731,0.00142317686584734,0.10368480077309,-0.00315840077394294,-0.000649227745949276,0.000773949130985235,-0.0132584745435798,-0.115520098453595
0.131525819714639,0.134390197369078,0.136195118228594,0.00180492083734227,0.119892142690896,-0.00367465444160478,-0.000810276798253495,0.000994644039088772,-0.0153083314789766,-0.133395553322598
0.151921007264819,0.155187261113453,0.157241832317104,0.002054571175933,0.13833257762183,-0.0040758341497239,-0.000809580279839417,0.00124499087946282,-0.0176642638032227,-0.153942270248774
0.173521824417606,0.17720588812575,0.17935455312568,0.00214866500547422,0.157662518677257,-0.00429772011499615,-0.000613656427179064,0.00153500858753447,-0.0201570258578858,-0.17567087950865
0.195983640893939,0.200084406823393,0.202168097689984,0.0020836908536564,0.177562216843759,-0.00432309235948774,-0.00022232641894666,0.00186136444764478,-0.0227445163992732,-0.19822304238314
0.21943876539017,0.223952350931035,0.22592523309683,0.00197288213807735,0.198278005323595,-0.00428143490312828,0.000232150659911216,0.0022050327813578,-0.0254421949721291,-0.221747318134894
0.243129977542493,0.248033572032693,0.250010529281719,0.00197695724348286,0.219273031652269,-0.00430406378360376,0.000599530702900319,0.00257648794453532,-0.0281610096507292,-0.245457084065983
0.269413087177016,0.27472481311905,0.276842748554098,0.00211793544613534,0.242691416699912,-0.00445346096678386,0.000858264982641216,0.00297620041768939,-0.031175131443195,-0.271748612708752
0.297438895004609,0.303154117427766,0.305594102642129,0.00243998519588439,0.267825130247585,-0.0047715788574091,0.00094364353618215,0.00338362873576227,-0.0343853436359149,-0.299770488684613
0.326714288325064,0.332819880178523,0.335629816300103,0.00280993609570913,0.294099768505447,-0.00511985037121035,0.000985741511815124,0.00379567760382853,-0.0377343701844756,-0.329024202589478
0.357035475103037,0.363518678878863,0.366455916064008,0.00293723719623235,0.321037633514534,-0.00520031278332074,0.00128289097033086,0.00422012819243329,-0.0411981543394855,-0.359298550656864
0.386722581135848,0.39352932012093,0.396684705841518,0.00315538575569729,0.347478474549476,-0.00533389033276647,0.0014728486449236,0.00462823438768585,-0.044577996899967,-0.388901085703678
0.417974124780841,0.425102511213885,0.428335969188502,0.00323345800972588,0.375175599548374,-0.00533362971766601,0.00179475672276957,0.00502821473434331,-0.0481321549298064,-0.420074296486934
0.450772388705185,0.458221857051646,0.461538586440304,0.00331672938126657,0.404231740294823,-0.00531949145748975,0.00212997691114507,0.00544670627762874,-0.0518601398527232,-0.452775150759234
0.485639141177729,0.493416945760449,0.496891442848931,0.00347449709217818,0.435178547107156,-0.00536255157064824,0.00241525302685442,0.00588975011533688,-0.0558231456188156,-0.487527195622938
0.522779875760159,0.530900366367802,0.534476197989924,0.00357583163505686,0.468078018801789,-0.00534340105063858,0.00277708953483001,0.00635292118651763,-0.0600452579857942,-0.524547445166501
0.561035274261875,0.569475770026209,0.573531336417156,0.00405556635029377,0.502303274488816,-0.00565709016980633,0.00278340561670207,0.00683897196330012,-0.0643890899287755,-0.562636798099866
0.600321031840784,0.609031048987711,0.613492250575551,0.0044612015749047,0.537283405868544,-0.00580446346707287,0.0029055537020285,0.00736675528247678,-0.0688420894290348,-0.6016642937348
0.640198225066775,0.649115354487939,0.653783160749645,0.00466780624692402,0.572570710568615,-0.0057272222780046,0.00318990717272437,0.00785771341595267,-0.0733547367521429,-0.641257641083073
0.681315204246886,0.690401433242692,0.695218459259541,0.00481702601684937,0.608910682285944,-0.00560185534968263,0.00348437363134017,0.00830139964449382,-0.0780063773070449,-0.682100033579719
0.72303970672545,0.732251594744859,0.73721841070801,0.00496681595391165,0.645784250711874,-0.00546768907871511,0.00374419893330288,0.0087110148742795,-0.0827231451038397,-0.723540579841014
0.765526847825164,0.774834638269293,0.78022280991787,0.00538817167028947,0.683596944591651,-0.00559387871966003,0.00371391172077329,0.0091020833933726,-0.0875237819583697,-0.765732554874072
0.808488010266234,0.817860946147924,0.823786418589335,0.00592547246358461,0.721947093804677,-0.00583388538114608,0.00353905044326056,0.009464522895758,-0.0923748018797755,-0.808396423213361
0.852708984033338,0.862144961672288,0.868584518291293,0.00643955664857039,0.761437257064418,-0.00609762007222762,0.00333835753161342,0.00977791417186843,-0.09736934704877,-0.852367047486561
0.897842735451247,0.907349247049304,0.914182657324192,0.00683341030560855,0.801695166806143,-0.00632246787704173,0.00318404369560691,0.010017453994055,-0.102470036527342,-0.897331793046009
0.943508051779299,0.953106304179759,0.960109736726043,0.00700343255298249,0.842285888942165,-0.00641167978386557,0.00318657264500553,0.0101900051956782,-0.107633842602174,-0.942916298972531
0.989993339212286,0.999713721005098,1.00687598876862,0.00716226776490831,0.883641565115088,-0.00654158843237729,0.00317879336043483,0.0103410611258051,-0.112893362530269,-0.98937265987375
1.03694345407365,1.04680106038642,1.05416740380257,0.00736634344063951,0.925448870448957,-0.00671209301429963,0.00314551326889722,0.0105118567201619,-0.118206676655511,-1.03628920364593
1.08610606972601,1.09615271339666,1.10372552202482,0.00757280865079901,0.969253301539177,-0.00692433136559668,0.00312231229766021,0.0106951209479972,-0.123777099546195,-1.08545759244866
1.13541514759085,1.14565493221143,1.15341725436941,0.00776232215751421,1.01318905944566,-0.00713481383198606,0.00310497077566291,0.0108672929373348,-0.129360901968972,-1.13478763926301
1.18516370243142,1.19561464646979,1.20361804170534,0.00800339526604004,1.0575713401749,-0.00739951232551701,0.00305143169068273,0.0110548269557988,-0.134991874583417,-1.18455981949551
1.23549157338187,1.24616518219756,1.2542848029647,0.00811962077915225,1.10237080911322,-0.00756559873243243,0.0031080100766664,0.0112276308585904,-0.140686362985607,-1.23493755134266
1.28664572580555,1.29755368798099,1.3056453000828,0.00809161210920484,1.14779701639735,-0.00762587237367702,0.00328208976203487,0.0113737018712397,-0.146474581813515,-1.28617998610236
1.33768508567046,1.3488190551695,1.35707916137541,0.0082601062243893,1.19333870255107,-0.00789971658516498,0.00323425288799973,0.0114943590976061,-0.152246099718988,-1.33732469603863
1.39050594652959,1.40190483484831,1.41049446940186,0.00858963457756631,1.24067184924784,-0.00839136921918936,0.00300751906627464,0.0115971536456888,-0.158225466507637,-1.39030768119154
1.44478458463259,1.45648935679272,1.46531716029027,0.00882780349569484,1.28924951947752,-0.00883927660077692,0.0028654955445774,0.0116932990458158,-0.164374341758496,-1.444796057758
1.5005447754326,1.51259697994424,1.52198297469803,0.00938599475563341,1.33949694497186,-0.0096459508622213,0.00240625359768432,0.011792248362557,-0.170693781352066,-1.50080473160016
1.55719206733112,1.56961631447461,1.57943095850004,0.00981464401064884,1.3903780635742,-0.0102998662725209,0.00212438088206072,0.0119390248853181,-0.177113870014543,-1.55767728958929
1.61375485046486,1.62654821935391,1.63670372779644,0.0101555084314434,1.44109641022921,-0.0108603507295133,0.00193301815214375,0.0120885265835871,-0.183518790963313,-1.61445969279619
1.67125995612762,1.68444474732193,1.6947388676483,0.0102941203337636,1.49248944472758,-0.0112600619682953,0.00192472919644344,0.0122188495339027,-0.190030573358637,-1.67222589776955
1.73110234091014,1.74473032839448,1.7553369432673,0.0106066148839004,1.54618530262202,-0.0118958188058247,0.00173216866743233,0.0123387835402456,-0.19681285709036,-1.73239154484685
1.79207557798659,1.80617407030825,1.81714842271148,0.0109743524069292,1.60094313590329,-0.0125908350335464,0.00150765728441969,0.0124820096876531,-0.203723277119039,-1.79369206063538
1.85554126748032,1.87016549972182,1.88135153200803,0.0111860322769702,1.65777688276111,-0.0131567558199759,0.00146747640674076,0.0126535086855588,-0.210921140537562,-1.85751199103626
1.91934053640857,1.93448980002561,1.94615027706124,0.0116604770319388,1.71512874543282,-0.0139385581105238,0.00121070550281614,0.0128711825273635,-0.218150349095393,-1.92161861750194
1.98356938945676,1.99924433140439,2.01141718573987,0.0121728543373239,1.77287998687594,-0.0147313748205465,0.000943567123382338,0.0131164214625541,-0.225420777403448,-1.98612790995292
2.05069478585695,2.0669553374709,2.07936171313659,0.0124063756546035,1.83296173600303,-0.0152888483042637,0.000971703317075495,0.0133780789679833,-0.233021898161309,-2.05357725851031
2.11982392756239,2.13671363085981,2.14919079768486,0.0124771668241241,1.89468258623743,-0.0157089588261904,0.00118074446014823,0.0136579112870441,-0.240850300150221,-2.1230557195931
2.18995782238476,2.20749647842927,2.22023094741125,0.0127344689792066,1.95749667752534,-0.0163281137892415,0.00121054227375204,0.0139450112520348,-0.248789258646,-2.19355146718463
2.26111557702017,2.27932436898765,2.29225910229549,0.0129347333124661,2.02114258604568,-0.0168681280495274,0.00134066391980187,0.0142753972378116,-0.256841119018703,-2.26504897178402
2.33376119212647,2.35266392707588,2.36583718406923,0.0131732569684068,2.0861765456992,-0.0174742676243777,0.00142846731764693,0.0146017242915973,-0.265058914051989,-2.33806220280184
2.40675878224687,2.42634949419973,2.43985791095636,0.0135084167589426,2.15160099439885,-0.0181482470749567,0.00144246486958028,0.014950881626906,-0.273306034915477,-2.4113986125615
2.47855775672868,2.49879013613931,2.51262305824027,0.0138329221074292,2.21588213304945,-0.0187239587927858,0.00150842063354387,0.0153413427349675,-0.281399582435875,-2.48344879339464
2.55126458394622,2.572134638353,2.58595823515059,0.0138235967925062,2.28058874743828,-0.0189120792118566,0.00195797521016738,0.0157815720100651,-0.289587915703166,-2.55635306637527
2.62355598974382,2.6450178353042,2.65894945944467,0.01393162411645,2.34495727482828,-0.0191164776379804,0.00234536791593576,0.0162769920453207,-0.297715192559172,-2.62874084327459
2.69663051206116,2.71865996524012,2.73284867947685,0.014188714232111,2.41013076598386,-0.0194213034193371,0.00260814977625001,0.0167968640055892,-0.30592104948439,-2.70186310124746
