signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationSignals_1,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,120.567866185352,-161.589564962557,-21.721787869268,18010.2419058166,1952.55183646906,3.56164171526834,0.403060875769361,0,1952.28868932129,34768.5597969836,13574952.0948431,49.2354014664121,0.000834270317256865,181500.547881886,-2672.61668398551,18010.2419058166,324368813.506033,18.7574828252978,0.000945764684884928,18206.8622841993
compassFilter,95.0752019071883,-109.944917377177,-22.0573209076733,15826.0324608879,1811.19814547731,3.11425576309881,0.462940670128889,0,1810.95404869221,35676.8483144604,10213371.7090408,47.9320295242783,0.000768901069164349,124173.353221827,-2713.90017325755,15826.0324608879,250463303.453077,13.5275787101706,0.000927136767933271,16056.5151538249
fullSystem,107.765924554047,-116.471911642,-21.7991077448864,16512.6945685505,1902.14876424286,3.25118064292917,0.455028001137009,0,1901.89240996196,37741.3160991528,11760153.5173726,48.7554459361734,0.000826023234863672,91746.2303549009,-2682.13000723612,16512.6945685505,272669081.914236,12.0597956865177,0.000930090863420186,16728.5542747836
gyroFilter,51.3728988991741,-96.4402473866614,0.258213162786975,16512.6945685505,99.2593293545943,31.650032604997,-3.15758877321743,0,99.2459520864872,-3121.94158597304,311745.193677125,9.96557204198154,0.00495953630447446,91746.2303549009,-2682.13000723612,16512.6945685505,272669081.914236,12.0597956865177,0.000930090863420186,16728.5542747836
gyroSystem,103.50768687395,-101.44391000901,-19.7755741902819,5612.67635770407,1804.54811410339,3.3699034533147,0.492191482888143,0,1804.30491354893,37722.3718568919,10970775.3556614,46.85486365474,0.000904791571463385,22910.6861122392,31.7701660214398,5612.67635770407,31502135.8963303,54.322309540951,0.000766985576455657,5612.57715415004
input,102.696043028346,-102.958199716398,-21.8322695323324,16230.2902453418,1891.25174743299,3.21688302640261,0.465171492423565,0,1890.99686175275,38251.5734040887,11503152.7126616,48.6584510099238,0.000821511103251343,98069.2105255936,-2433.15742858884,16230.2902453418,263422321.448038,12.7448844359963,0.000901157881563851,16411.1189287574
compassSystemError,78.4662614087504,-63.0541505023229,0.110481663064475,7100.24680706188,79.010010237987,18.5371486500963,0.907262760599503,0,78.9993619886288,637.042579199236,115688.47608076,8.8888451548276,0.00104025516344314,139746.027448853,13.5935005791278,7100.24680706188,50413504.7211924,117.342780484139,0.000702114757917649,7100.02057314487
compassFilterError,103.516087448324,-51.820030597656,-0.225051375340871,6662.20958801557,122.866446687833,33.7812241597163,3.37527182948385,0,122.849887867525,4595.90350106718,509829.442514031,11.0860514155883,0.00499549492757511,112115.027114329,-27.6899886929138,6662.20958801557,44385036.5946466,83.5607058868081,0.000757207950684232,6662.04264645104
fullSystemError,20.0339455679974,-18.3893925813487,0.0331617874461022,2139.87091281691,6.63156803134248,18.9450306673794,0.816920207729086,0,6.6306742890202,13.9481362719732,832.934216047548,2.57522309580487,0.000640753361266677,49207.7630292979,4.08017732852585,2139.87091281691,4579047.52351987,173.485021385877,0.000685430244980606,2139.80269871292
gyroSystemError,5.7079756133962,0,2.05669534205058,537.590783894689,3.61542653058376,1.74746024683181,0.427741148438364,0,3.61493927633436,2.93989988171637,22.8354364994508,2.8008811124978,0.000490117308070367,2755.19424680437,253.052755975791,537.590783894689,289003.850928507,6.56515099277538,0.000744044580477888,594.154922785319
gyroFilterError,100.271017876988,-94.8602619242402,22.0904826951195,15426.8090286158,1783.32557936554,3.03530524812109,-0.457294199305454,0,1783.08523899096,-34431.3340314042,9650428.16618526,47.6557936110011,0.000764890154927657,86781.9085479975,2717.98035058609,15426.8090286158,237986436.805381,11.5576085077104,0.000928235159884486,15663.9016879239
