compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorFullSystemErrorCrossCorrelation,compassFilterErrorFullSystemErrorCrossCorrelation,fullSystemErrorFullSystemErrorCrossCorrelation,gyroSystemErrorFullSystemErrorCrossCorrelation,gyroFilterErrorFullSystemErrorCrossCorrelation
-0.00168900015098708,-0.00169160854958353,-0.00166557373035522,2.60348249936388e-05,-0.00145872460234733,-4.25407213957182e-06,-6.86247877421833e-06,1.91723467183432e-05,0.000226021476888231,0.00171078090866407
-0.00195415326527187,-0.00195805162191391,-0.0019285351108937,2.9516520776919e-05,-0.00168914560051191,-3.42288274883426e-06,-7.3212580311866e-06,2.21952623022454e-05,0.000261584766031731,0.00198024689796425
-0.00226351433921428,-0.002268987358326,-0.00223566895084722,3.33183968351001e-05,-0.00195830187627247,-2.13127436360256e-06,-7.60428696161225e-06,2.57141130887682e-05,0.000303081207066065,0.00229470146908647
-0.00260040673826422,-0.0026078220953544,-0.00256612753584271,4.16945821295182e-05,-0.00224737747439316,-4.74244649965493e-06,-1.2157807747523e-05,2.95367744928669e-05,0.000348286830953189,0.00263735888259751
-0.00296067495786008,-0.00297043554839634,-0.0029227804534492,4.76550754337084e-05,-0.00255975094934305,-4.26937909131604e-06,-1.40299594828061e-05,3.36251170596197e-05,0.000396654641787921,0.00300406066079934
-0.00334346897190525,-0.00335597953271298,-0.00330398175688017,5.19977855895247e-05,-0.0028938776183696,-1.51542611309283e-06,-1.40259853963341e-05,3.79717977540124e-05,0.000448075926286124,0.00339395131738413
-0.00375155037357694,-0.00376721483610925,-0.0037091180149998,5.80968069178717e-05,-0.0032488015329554,1.76348049925374e-07,-1.54881197072211e-05,4.26086897052647e-05,0.000502925179898739,0.00380982352509385
-0.00419275778744902,-0.00421191636295546,-0.00414559699949764,6.63193639013029e-05,-0.00363098070380234,4.65476464125372e-07,-1.86931146752267e-05,4.7626249336948e-05,0.00056224255379112,0.00425954262060778
-0.00468930442063581,-0.00471235280945187,-0.00463511526939415,7.72375436056228e-05,-0.00405938684585549,-9.1755456413098e-07,-2.39659486604588e-05,5.32715931712162e-05,0.000629000008727113,0.00476562440395355
-0.00519814706629231,-0.00522552619022982,-0.00513667098113469,8.8855212199546e-05,-0.00449828339474542,-2.41214362350071e-06,-2.97912702496563e-05,5.90639433357865e-05,0.000697451523017316,0.00528459013927551
