Var1,Var2,frequenciesFirstOrder
200,-90,0.1
171.183707498292,-90,0.116833548544329
146.519308564305,-90,0.136500780654601
125.40859230062,-90,0.159478705829482
107.33953891081,-90,0.186324631193156
91.8739011595479,-90,0.217689678435098
78.6365751141154,-90,0.254334576130465
67.3065023650111,-90,0.297148110468401
57.6088830679259,-90,0.347168681892656
49.3085109420158,-90,0.405609490489764
42.2040685713719,-90,0.473887960971765
36.123244647798,-90,0.553660120927679
30.9185547283895,-90,0.646860766154633
26.4637641444729,-90,0.755750387239493
22.6508263030562,-90,0.882969995549409
19.387262122285,-90,1.03160517838208
16.5939170416698,-90,1.20526093687084
14.2030412055607,-90,1.40814912176483
12.1566462565945,-90,1.64519058775366
10.4050988847454,-90,1.92213454398991
8.90591701988531,-90,2.24569799553977
7.62273947068055,-90,2.62372865777799
6.52444401942334,-90,3.06539529505653
5.58439258304974,-90,3.58141010012545
4.7797851324621,-90,4.18428850790158
4.09110670010039,-90,4.88865274511399
3.50165406347145,-90,5.71158647812643
2.99713062480752,-90,6.67304916057319
2.56529966105612,-90,7.79636013040523
2.1956875341185,-90,9.10876419764773
1.87932966299094,-90,10.6420924406472
1.60855309661153,-90,12.433534237776
1.3767904139291,-90,14.5265392594678
1.17842043752246,-90,16.9718712975214
1.00863189743427,-90,19.8288394912707
0.86330673851918,-90,23.1667368128109
0.738920241039861,-90,27.0665207003324
0.632455532033676,-90,31.6227766016838
0.541330414006648,-90,36.946012051993
0.463334736256218,-90,43.165336925959
0.396576789825414,-90,50.4315948717136
0.339437425950427,-90,58.9210218761229
0.290530785189356,-90,68.839520696455
0.24867068475552,-90,80.4276548305763
0.212841848812945,-90,93.9664831495469
0.182175283952955,-90,109.784376705925
0.155927202608105,-90,128.264983052806
0.133460983211464,-90,149.856531240376
0.114231729562529,-90,175.082703173572
0.0977730549022797,-90,204.55533500502
0.0836857701580316,-90,238.989256623105
0.071628202002509,-90,279.219629152487
0.0613079059011305,-90,326.222200971167
0.0524745731555598,-90,381.136973534028
0.0449139599107955,-90,445.295850994266
0.0384426908797982,-90,520.254944237269
0.0329038117550732,-90,607.832312829723
0.0281629824352967,-90,710.152060278034
0.0241052187374169,-90,829.695852083491
0.0206321035676416,-90,969.363106114251
0.0176593999109882,-90,1132.54131515281
0.0151150077447898,-90,1323.18820722365
0.0129372153230926,-90,1545.92773641948
0.0110732024185536,-90,1806.1622323899
0.0094777592194353,-90,2110.2034285686
0.00811218980979528,-90,2465.42554710079
0.00694337363785312,-90,2880.4441533963
0.00594296220936801,-90,3365.32511825056
0.0050866915226093,-90,3931.82875570577
0.00435379356870197,-90,4593.6950579774
0.00372649262386312,-90,5366.97694554048
0.00318957411658964,-90,6270.42961503099
0.00273001561309203,-90,7325.96542821523
0.00233667097088658,-90,8559.18537491462
0.002,-90,10000
