magnitudeBodeCompass,phaseBodeCompass,frequenciesSecondOrder
1.00158827370048,-0.306064287024376,0.1
1.00189927113365,-0.334743302810312,0.109336207394328
1.00259899254252,-0.391719158507018,0.127856498140578
1.00355740934374,-0.458511067423472,0.14951391223782
1.00487095788879,-0.536881471615154,0.174839842149281
1.00667272044004,-0.628952124377196,0.204455692084104
1.0091469639171,-0.737302608787374,0.239088124947509
1.01254998777713,-0.865109619669131,0.279586891948214
1.01724049423639,-1.01635021426513,0.326945682335432
1.02372474141293,-1.19610832118132,0.382326504840506
1.032725442111,-1.41105306162147,0.447088199053169
1.04529038243472,-1.67021289182602,0.522819776295636
1.06297071975219,-1.98627996749272,0.611379408055709
1.08812852746391,-2.37791237032729,0.714940018610135
1.12450041558181,-2.8740315338224,0.836042600511801
1.17831057145466,-3.52242657124207,0.977658561104676
1.18808387217716,-3.6329507394882,1
1.26068577908461,-4.40862184974536,1.14326262981832
1.35689444452812,-5.35646040432848,1.28996423322623
1.50799171457247,-6.74736346384756,1.46086305040069
1.70960150797691,-8.51055734539275,1.62309364665251
1.9795012057309,-10.7970409935353,1.77441087323403
2.34426561936286,-13.841419069151,1.91346246139286
2.84391754449317,-18.0208961985549,2.03964135554999
3.53667657126536,-23.9594685249135,2.15292318275368
4.49291659374641,-32.6863077717335,2.25371090052035
5.72915861670107,-45.7107393272893,2.34269880717677
6.97397280357573,-64.209436874927,2.42076091997881
7.51672242878694,-86.1689105759275,2.48886408717801
6.91769227837122,-109.250950867465,2.55888319797342
5.42618795718679,-130.074505295013,2.64414888737211
3.92064835614165,-144.919560193428,2.74855326076394
2.78553912687077,-154.694379219117,2.8772250185543
1.98972858545661,-161.198785421325,3.03702630248646
1.43166188282803,-165.689019769772,3.23729603764233
1.03306599192113,-168.910486050862,3.49098652284207
0.74298731523747,-171.301767053364,3.81644303593939
0.529002639665202,-173.129102491989,4.24026361865024
0.370139767301255,-174.560432109233,4.80202806007419
0.263644582800042,-175.591378150255,5.46681036971639
0.180199744960352,-176.477573428758,6.39282490702889
0.125758230474797,-177.125968466178,7.47569561189098
0.0889896284636362,-177.622087629673,8.74199210746404
0.0666245666618102,-177.963674545202,10
0.0635715643617604,-178.013720032507,10.2227846042052
0.0457152344164717,-178.329787108174,11.9544062473755
0.0330286841999241,-178.588946938379,13.9793445974107
0.0239426377805228,-178.803891678819,16.3472841167716
0.0173978200975677,-178.983649785735,19.1163252420253
0.0126639756819502,-179.134890380331,22.3544099526584
0.00922976009472831,-179.262697391213,26.1409888147818
0.00673297023248786,-179.371047875623,30.5689704027854
0.0049148592912514,-179.463118528385,35.7470009305068
0.00358942939831965,-179.541488932576,41.8021300255901
0.00262236329380504,-179.608280841493,48.8829280552338
0.00191633774497296,-179.66525669719,57.1631314909158
0.00140066042840777,-179.71389144981,66.8459057558003
0.00102388995428212,-179.755426401386,78.1688301492623
0.000748543889032629,-179.790910604915,91.4097271600514
0.000625387390581548,-179.80889533611,100
