time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input,error
0,0,0,-0.738174935108387,-0.738174935108387,-0.738174935108387,-0.738174935108387,0
7.77078726604524e-06,1.05054372623345e-10,2.28326536078298e-16,1.88227922774942,1.88227922774942,1.88228333482971,1.88228227415337,-3.0464039528777e-06
1.55415745320905e-05,5.72136200255982e-10,2.6880036733854e-15,-0.0652271550610758,-0.0652271550610785,-0.065217717545392,-0.0652198388980636,-7.31616301218041e-06
2.43500790067289e-05,1.40261222477329e-09,1.04178946128099e-14,1.67189856075444,1.67189856075443,1.67192659522613,1.67192327155355,-2.47107991162565e-05
3.04476280030797e-05,2.56610488562313e-09,2.21578152796048e-14,1.06865533541428,1.06865533541426,1.06869023313394,1.06868607717427,-3.07417599927362e-05
3.65451769994306e-05,4.00192702887669e-09,4.16804644297897e-14,1.00146513392818,1.00146513392814,1.00150563828108,1.00150065003432,-3.55161061369458e-05
4.35962146572562e-05,5.83612640801603e-09,7.56490582554213e-14,2.16842013659015,2.16842013659007,2.16846101911557,2.16845506843494,-3.49318447945279e-05
5.2339961842252e-05,8.20619162564044e-09,1.35518411809182e-13,0.204013272615174,0.204013272615038,0.204058806618706,0.204051662457241,-3.8389842066916e-05
6.19620554096441e-05,1.13277369904577e-08,2.27096881824112e-13,-0.777876729213268,-0.777876729213495,-0.777820036032578,-0.777828493565083,-4.82356481847912e-05
7.05553661174948e-05,1.4998224848567e-08,3.37253398949994e-13,0.0216972470310454,0.0216972470307082,0.0217685106059732,0.0217588801265065,-6.16330954610993e-05
8.0956682262855e-05,2.01646324958326e-08,5.1565656784652e-13,1.70562850959896,1.70562850959845,1.70571177395808,1.70570072374732,-7.22141483580074e-05
8.91963283393993e-05,2.47134787128637e-08,6.96620833185347e-13,1.83270273799482,1.83270273799412,1.83279185535997,1.83277968047582,-7.69424810049824e-05
9.57846065919179e-05,2.86599021508449e-08,8.68567317196455e-13,0.122516756461478,0.12251675646061,0.122618155293979,0.122605081140478,-8.83246789990938e-05
0.000102372884844437,3.32256105664906e-08,1.06792769514004e-12,1.85622584017099,1.85622584016992,1.8563406776663,1.85632670424345,-0.000100864072460682
0.000110218429159537,3.88852719127665e-08,1.34509568265667e-12,-0.0514302104817897,-0.0514302104831348,-0.0513161771152928,-0.0513312214184731,-9.89890633165957e-05
0.000113703368873949,4.1493556043807e-08,1.48226015930269e-12,0.500221829068933,0.500221829067451,0.500340407226697,0.500324887245447,-0.000103058176513793
0.000117188308588361,4.4156417055328e-08,1.6284336377613e-12,0.643855641337686,0.643855641336057,0.64397709590283,0.64396110024351,-0.000105458905824363
0.00012116637804061,4.7320533033065e-08,1.80661839292348e-12,1.03123182328402,1.03123182328222,1.03135862111294,1.03134208246563,-0.000110259181609118
0.000127649590481998,5.25588388018327e-08,2.12374860899898e-12,1.26791378246843,1.2679137824663,1.26804134367735,1.26802392010168,-0.000110137633259066
0.000137122159947955,6.06771627139593e-08,2.64860054255475e-12,0.288965897853517,0.288965897850868,0.289101503254751,0.289082786717392,-0.000116888863875619
0.000144016787512008,6.68666360836116e-08,3.07910717697271e-12,1.2348949170523,1.23489491704922,1.23503583666213,1.23501617904016,-0.000121261987860999
0.00015091141507606,7.32502756739593e-08,3.55200051541847e-12,1.73417894279995,1.73417894279639,1.73432877338732,1.73430817468075,-0.000129231880800607
0.000160148614275413,8.21458152235736e-08,4.25512126563974e-12,-0.904528260816645,-0.9045282608209,-0.904379517180994,-0.90440137672232,-0.000126884094325042
0.000167802419280206,8.94551830131507e-08,4.89840603194529e-12,1.4408430918584,1.4408430918535,1.44099091982273,1.44096801557261,-0.000124923714206249
0.000175456224284998,9.69669565538153e-08,5.59672405522827e-12,1.68220609702059,1.682206097015,1.68236975507154,1.68234580611261,-0.00013970909202099
0.000184338249466678,1.06578145966338e-07,6.48149902126804e-12,-0.888282083516866,-0.888282083523347,-0.88810276399782,-0.888127925311893,-0.000154158204973109
0.000194389426828576,1.18573775797443e-07,7.58911384308269e-12,0.619271161716696,0.619271161709107,0.619463517129743,0.619436983876687,-0.000165822159990836
0.00019863879383933,1.23813015098008e-07,8.09354698512034e-12,0.71258967805457,0.712589678046476,0.712785281276187,0.71275816800429,-0.000168489949719963
0.000202888160850085,1.29206998855554e-07,8.62008117894102e-12,1.74979273754021,1.74979273753159,1.74999409308574,1.749966399795,-0.000173662254788987
0.000207243245430058,1.34974790752777e-07,9.18347908792493e-12,1.22490470212238,1.2249047021132,1.22511626217342,1.22508797443388,-0.000183272311503391
0.000212189186371706,1.41756863396799e-07,9.85374216312173e-12,1.04178352363078,1.04178352362093,1.04200239229808,1.0419734294606,-0.000189905829817594
0.000217941319656009,1.49932102846881e-07,1.06753818504588e-11,3.05923062458414,3.05923062457346,3.05945574316488,3.05942599518794,-0.00019537060380026
0.000223794956639948,1.58372316207981e-07,1.15592831100866e-11,-0.596914939949455,-0.596914939961014,-0.596692171878303,-0.596722718849473,-0.00019222109998196
0.000228683984067074,1.65438153125256e-07,1.23345428347726e-11,1.17819409682636,1.17819409681403,1.178424641699,1.17839342739831,-0.000199330571952983
0.000233821672782583,1.73067985181752e-07,1.31862830052778e-11,2.34510503050795,2.34510503049477,2.34533736404585,2.34530544847454,-0.000200417966587096
0.00023865412340229,1.80281145914833e-07,1.40225390334122e-11,1.97866552971669,1.97866552970267,1.97890301489796,1.97887043971961,-0.000204910002921332
0.000243626138219655,1.87848712062487e-07,1.49189868938897e-11,-0.622317686482474,-0.622317686497393,-0.622080077174085,-0.622113331009346,-0.000204355473128026
