signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationSignals_1,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,104.590630070329,-163.361502371911,-13.2790434439053,64132.4004185439,1291.75725426235,5.77597419853451,-0.589653240160041,0,1291.59085502826,-27370.5882514955,9635520.22473054,38.3134943566022,0.00170759726431436,617450.274229559,1742.3604388292,64132.4004185439,4112964783.44446,20.5909786595388,0.000688971624981799,64153.999704425
compassFilter,104.487402666968,-161.949340181022,-13.3189925514202,63595.5545999488,1289.2268431627,5.75110427647394,-0.585537273054351,0,1289.0607698865,-27099.7093701644,9556481.54520367,38.2943381255151,0.00170306474586819,612506.808459676,1747.60221281647,63595.5545999488,4044394564.87507,20.3798292770302,0.000690993786889462,63617.5146470118
fullSystem,106.71514991852,-164.828811510533,-13.1608150942413,62782.047962626,1293.12552136337,5.72108296580821,-0.613729773927883,0,1292.95894587434,-28533.4506633251,9564179.46062943,38.2905471339747,0.00172016608995411,589643.206653965,1726.84754438972,62782.047962626,3941585546.38147,19.8278219005587,0.000683978592341994,62803.7710848277
gyroFilter,49.8569554776861,-49.2535425285648,0.158177457178846,62782.047962626,7.92278555252604,72.3020934054685,-0.435637372370396,0,7.92176496956166,-9.71310446552833,4537.27161516492,2.8190042705752,0.002273373997722,589643.206653965,1726.84754438972,62782.047962626,3941585546.38147,19.8278219005587,0.000683978592341994,62803.7710848277
gyroSystem,102.443909514581,-102.489865449254,-12.810480287531,3111.61498841902,1192.99135293988,4.73947770539491,-0.373923271522312,0,1192.83767635184,-15404.7451131718,6743621.40986869,36.8367490632528,0.00176124199461995,36748.6792210714,-20.7546684267769,3111.61498841902,9682147.83615388,56.5547467747635,0.000886197722720902,3111.58399269593
input,102.18664307644,-102.818856158601,-13.1270129970286,44806.3663428849,1214.49586900358,4.64730655080457,-0.387418027111206,0,1214.33942228594,-16394.1900915864,6853012.26652874,37.2378556379137,0.00175760173783372,211722.248034271,1680.87966197897,44806.3663428849,2007610464.85281,7.78904908359144,0.000667799832008253,44836.4417255333
error,69.7488331500527,-62.0400546384464,-0.0338020972127285,43017.3486659852,71.5669024310177,21.6388351409526,0.68848830319015,0,71.5576834560813,416.755150095023,110801.699949886,8.45924500400937,0.00251862843535781,555511.166531887,4.4352168273046,43017.3486659852,1850492286.25094,42.5964423521115,0.0017449876352026,43015.9634504672
