compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorFullSystemErrorCrossCorrelation,compassFilterErrorFullSystemErrorCrossCorrelation,fullSystemErrorFullSystemErrorCrossCorrelation,gyroSystemErrorFullSystemErrorCrossCorrelation,gyroFilterErrorFullSystemErrorCrossCorrelation
1.49011611938477e-11,1.11758708953857e-11,0,0,-1.49011611938477e-11,-3.49245965480804e-13,3.72529029846191e-12,0,9.31322574615479e-13,0
-1.8404234200716e-05,-1.83034986257553e-05,-1.78164727985859e-05,4.87021636217833e-07,-1.55673995614052e-05,-3.89269203878939e-07,-2.88526527583599e-07,1.98497204110026e-07,2.44756881147623e-06,1.85020007193089e-05
-0.000100616477429867,-0.000100051682442427,-9.75965037941933e-05,2.45518609881401e-06,-8.53037424385548e-05,-1.93329597823322e-06,-1.36849004775286e-06,1.08669605106115e-06,1.33794671855867e-05,0.000101138383150101
-0.000209219574928284,-0.00020799346268177,-0.000203733425587416,4.26003150641918e-06,-0.000178183622658253,-3.22021369356662e-06,-1.99410598725081e-06,2.26592627586797e-06,2.78157535940409e-05,0.000210259396582842
-0.00034211964532733,-0.000340063489973545,-0.000334188207983971,5.87527081370354e-06,-0.000292422123253345,-4.21702233143151e-06,-2.16086395084858e-06,3.71440785238519e-06,4.54805009067059e-05,0.000343777894973755
-0.000510311376303434,-0.000507212694734335,-0.000499630361795425,7.58233107626438e-06,-0.000437345184385777,-5.12713787611574e-06,-2.02845968306065e-06,5.55386964697391e-06,6.78390511311591e-05,0.000512766569852829
-0.000693974640220404,-0.000689760986715555,-0.000680448241531849,9.31273400783539e-06,-0.00059576615691185,-5.94758125953376e-06,-1.73392612487078e-06,7.57880724268034e-06,9.22609004192054e-05,0.000697339791804552
-0.000892018638551235,-0.000886664532124996,-0.000873619016259909,1.30455088801682e-05,-0.000764790069311857,-8.62568465527147e-06,-3.2715629786253e-06,9.77394403889775e-06,0.000118602905422449,0.000896438468247652
-0.00111509760469198,-0.00110856183990836,-0.00109379595518112,1.47658931091428e-05,-0.000957762610167265,-9.05024883104488e-06,-2.5144899263978e-06,1.2251402484253e-05,0.000148284736089408,0.0011208132468164
-0.00138433141633868,-0.0013764959871769,-0.00135837634280324,1.81196513585746e-05,-0.00118949683383107,-1.07228102860972e-05,-2.88738496601582e-06,1.5232267382089e-05,0.000184111773967743,0.00139172826334834
-0.00170429866015911,-0.00169508259370923,-0.00167191836982965,2.31642397120595e-05,-0.00146398985758424,-1.36135891079903e-05,-4.39751567319036e-06,1.8766721826978e-05,0.000226695233490318,0.0017138493321836
-0.00207043416053057,-0.0020597872659564,-0.00203250424563885,2.7283001691103e-05,-0.00177988021820784,-1.51178212545346e-05,-4.47092484682798e-06,2.28120764368214e-05,0.000275436129886657,0.00208259934559464
-0.00244011507555842,-0.00242837770655751,-0.00239949481934309,2.88828839547932e-05,-0.0021017212793231,-1.37096362013835e-05,-1.97224877774715e-06,2.69106347113848e-05,0.000324684176594019,0.00245528833195567
-0.00283311407640576,-0.0028206028342247,-0.00279028028994799,3.03225442767143e-05,-0.00244447720050812,-1.15585223538801e-05,9.52707603573799e-07,3.12752518802881e-05,0.000377078345045447,0.00285187808796763
-0.00324749095737934,-0.00323455574735999,-0.00320092386007309,3.36319012567401e-05,-0.00280444404482841,-1.06791887956206e-05,2.2560185752809e-06,3.58879170962609e-05,0.000432367734611034,0.00327044368162751
-0.00370875880122185,-0.00369571195915341,-0.00365545673295856,4.02552373707294e-05,-0.00320252672210336,-1.22697431943379e-05,7.77086708694696e-07,4.10323252435774e-05,0.000493962329812348,0.0037367442920804
