compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorFullSystemErrorCrossCorrelation,compassFilterErrorFullSystemErrorCrossCorrelation,fullSystemErrorFullSystemErrorCrossCorrelation,gyroSystemErrorFullSystemErrorCrossCorrelation,gyroFilterErrorFullSystemErrorCrossCorrelation
3.62030155341294e-12,-1.17659800485921e-11,-9.05075388353235e-12,-9.61642600125312e-13,8.14567849517911e-12,7.07090147150965e-14,-1.52731471784608e-12,3.74757777990011e-13,1.15962784132758e-12,2.26268847088309e-12
-9.05125316837033e-05,-9.06441617753462e-05,-8.94598833007414e-05,1.18429731148629e-06,-7.85845435931337e-05,1.17977651648868e-07,-1.36612644790155e-08,1.17063755664474e-06,1.20459594349743e-05,9.18148175077431e-05
-0.000272839553690397,-0.000272945994628906,-0.000267913148252418,5.03283687319654e-06,-0.000235182559886989,-1.38121739209089e-06,-1.48764452820081e-06,3.5451926985408e-06,3.6275778645722e-05,0.000276491176282699
-0.000552259109990329,-0.000551925339456376,-0.000539200478645206,1.2724847235039e-05,-0.00047304050497298,-5.85653832635052e-06,-5.52274354627633e-06,7.20210403523682e-06,7.33620734012842e-05,0.000559127421649598
-0.00100536203279773,-0.00100415839792833,-0.000979833462365167,2.43249200071788e-05,-0.000859500347040195,-1.23848033195205e-05,-1.11811478808703e-05,1.31437735899851e-05,0.000133476890279641,0.00101730217424061
-0.00155391132611097,-0.00155109478399679,-0.00150891933798341,4.21754237258964e-05,-0.00132312201980802,-2.46365304384482e-05,-2.18199732314263e-05,2.03554485110823e-05,0.000206152779474199,0.00157145022906081
-0.00215879473853331,-0.0021538267851571,-0.00209138835612884,6.24384285757215e-05,-0.0018335112494546,-3.90700872966183e-05,-3.41021350269958e-05,2.83362900309522e-05,0.000286213385911461,0.00218216308498478
-0.00282321172921155,-0.0028161785616906,-0.00273392779663915,8.2250761261447e-05,-0.00239690748542055,-5.21604976947379e-05,-4.51272939000572e-05,3.71234691255797e-05,0.000374143772046475,0.00285330200766958
-0.00356642703369144,-0.00355807542701345,-0.00345179440220139,0.000106281027159598,-0.00302617482621987,-6.76739718634173e-05,-5.93223487071338e-05,4.69586799055348e-05,0.000472578246769132,0.00360503412269063
-0.00433304277316561,-0.00432452047107953,-0.0041943968498158,0.000130123602200582,-0.00367731959273925,-8.14917697826973e-05,-7.29694573545378e-05,5.71541467304394e-05,0.000574231405062076,0.00438167460885467
-0.00512383739211469,-0.0051168184315621,-0.00496621411682927,0.000150604315043949,-0.00435464992346305,-8.99131821951387e-05,-8.28942335464162e-05,6.77100831733368e-05,0.000679274285102419,0.00518452852920958
-0.00598518235293969,-0.0059818010080327,-0.00580836061308608,0.00017344038872423,-0.00509365779448181,-9.76177035714019e-05,-9.4236350386151e-05,7.92040415977642e-05,0.000793906869726532,0.00606100503816853
-0.00686366191637079,-0.00686600955159732,-0.00666782048832267,0.000198189041072021,-0.00584773347551045,-0.000104921789397805,-0.000107269399492586,9.09196420814693e-05,0.000911006640617539,0.00695692916627904
-0.00776673746372205,-0.00777705759941388,-0.00755753840317097,0.000219519179951548,-0.00662890610360225,-0.000106260192568105,-0.000116580301457681,0.000102938879886834,0.00103157118439812,0.00787999647179848
-0.00869099752238949,-0.00871167149968568,-0.00846552131724688,0.000246150181250895,-0.00742558164266821,-0.000110262622851148,-0.00013093659691594,0.000115213584748602,0.00115515326626736,0.00882688510495051
-0.00963464425243184,-0.00966800803832703,-0.00939193956981132,0.000276068459012418,-0.00823813478170059,-0.000114973069134574,-0.000148336830889703,0.000127731626613078,0.00128153639965925,0.00979573964263494
-0.0106000194341429,-0.010648411448386,-0.0103464045455956,0.000302006913311924,-0.00907590058727228,-0.000113064736995934,-0.00016145675688162,0.000140550158816733,0.00141105410485439,0.010788961609172
-0.0115729727808556,-0.0116385809038164,-0.0113073288996145,0.000331251986779135,-0.00991900402562018,-0.000112151490869811,-0.000177759602107017,0.00015349238633378,0.00154181726013724,0.0117920732819833
-0.0125527816188347,-0.0126375406613959,-0.0122804262899804,0.000357114388668535,-0.010773266911818,-0.000105834372738282,-0.000190593405315368,0.000166520987524999,0.0016736803393129,0.0128040616436743
-0.0135448395787757,-0.0136504786064626,-0.0132740734170387,0.000376405175564859,-0.0116464358920085,-9.10675833215557e-05,-0.000196706582060124,0.000179698593621406,0.00180733612099566,0.0138301771727868
-0.0145592644097477,-0.0146870980323433,-0.014282794651169,0.000404303378628728,-0.0125318758485638,-8.33533273804372e-05,-0.00021118693639985,0.00019311644455874,0.00194403523649044,0.0148802144829441
-0.0155993444800732,-0.0157502205807994,-0.0153190527763851,0.000431167764760702,-0.0134417126090985,-7.35210789829371e-05,-0.000224397154183256,0.000206770610032986,0.00208411078934718,0.0159569911724834
-0.0166630448051253,-0.016837417932754,-0.016382564935359,0.000454852990663553,-0.0143759580314579,-5.98152644164766e-05,-0.000234188380731728,0.000220664610147488,0.0022272715023497,0.0170580825417242
-0.0177524315593339,-0.0179502729600724,-0.0174584043138924,0.000491868642814307,-0.0153194944481967,-5.92573872888216e-05,-0.000257098769133936,0.000234769872039922,0.00237367972777975,0.018185042807845
