time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input,compassSystemError,compassFilterError,fullSystemError,gyroSystemError,gyroFilterError
0,0,0,-0.277576099353408,-0.277576099353408,-0.277576099353408,-0.277576099353408,0.277576099353408,0.277576099353408,0,0,0
3.59836400228047e-05,2.32679081504905e-09,3.99049254916677e-15,0.938993220425273,0.938993220425269,0.939008260831174,0.939003349231597,-0.939003346904806,-0.939003349231593,-1.01288063241167e-05,4.91159957693998e-06,-1.01288063281135e-05
7.19672800456095e-05,1.60653177135261e-08,1.12960460431358e-13,0.857219371034278,0.857219371034165,0.857243834287157,0.857234011088003,-0.857233995022685,-0.85723401108789,-1.46400537249791e-05,9.82319915399099e-06,-1.46400538378888e-05
9.36278583320187e-05,2.6324403674512e-08,2.69604025311181e-13,-0.0552309534876441,-0.0552309534879137,-0.0552029249931706,-0.0552157047605617,0.0552157310849654,0.0552157047608313,-1.52487270824106e-05,1.27797673910926e-05,-1.52487273520144e-05
0.000115288436618428,3.88955456219839e-08,5.09803458184893e-13,2.48172681698519,2.48172681698468,2.48176415527943,2.4817484189438,-2.48174838004825,-2.48174841894329,-2.16019586081195e-05,1.57363356283469e-05,-2.16019591179339e-05
0.000123570947125085,4.49626225742363e-08,6.28701478933189e-13,2.61939312896933,2.6193931289687,2.61943503665043,2.61941816979063,-2.619418124828,-2.61941816979,-2.50408212987274e-05,1.68668598075072e-05,-2.50408219275577e-05
0.000129665263110383,4.97126362969948e-08,7.27569773161062e-13,0.303837483203496,0.303837483202768,0.303881102556331,0.303863403850724,-0.303863354138087,-0.303863403849996,-2.5920647228117e-05,1.76987056072497e-05,-2.59206479557017e-05
0.000135759579095681,5.4685072674299e-08,8.36583403539386e-13,0.224374529584221,0.224374529583385,0.224420725692987,0.224402195141579,-0.224402140456507,-0.224402195140743,-2.76655573580309e-05,1.85305514070755e-05,-2.76655581946117e-05
0.000146446115799773,6.37774937051074e-08,1.05347300377545e-12,1.90430875491781,1.90430875491675,1.90435789234463,1.90433790313065,-1.90433783935316,-1.9043379031296,-2.91482128431664e-05,1.99892139860491e-05,-2.9148213896546e-05
0.000156080226587797,7.28453197008147e-08,1.27888232461428e-12,1.31372393423709,1.31372393423581,1.3137779138885,1.31375660966317,-1.31375653681786,-1.3137566096619,-3.26754260879802e-05,2.13042253200957e-05,-3.26754273669572e-05
0.000165714337375821,8.24911605641257e-08,1.53542574583724e-12,1.95831279330783,1.9583127933063,1.95836623301909,1.95834361378244,-1.95834353129128,-1.9583436137809,-3.08204746064522e-05,2.26192366541422e-05,-3.08204761418907e-05
0.000173264065435156,8.98733873564386e-08,1.75848730046234e-12,0.46868024099992,0.468680240998161,0.468733351168144,0.468709701428708,-0.468709611555321,-0.46870970142695,-2.94604287884859e-05,2.36497394359159e-05,-2.94604305469681e-05
0.000180813793494491,9.74069345831707e-08,2.00073380936944e-12,1.6726999293503,1.6726999293483,1.67275718080774,1.67273250056552,-1.67273240315859,-1.67273250056352,-3.2571215224042e-05,2.46802422176895e-05,-3.2571217224886e-05
0.000187937631983122,1.05118443406198e-07,2.24791806281131e-12,1.09007964567865,1.0900796456764,1.09014045952621,1.09011480691316,-1.09011470179471,-1.09011480691091,-3.51612345099728e-05,2.56526130530954e-05,-3.51612367579524e-05
0.00019437022129949,1.12449487130555e-07,2.4877506819989e-12,1.0203160558514,1.02031605584891,1.02037998304817,1.02035345241658,-1.02035333996709,-1.02035345241409,-3.73965651767616e-05,2.65306315898606e-05,-3.73965676645494e-05
0.000200363733034249,1.19606248815942e-07,2.72608409649966e-12,-0.298521308549394,-0.29852130855212,-0.298454802268064,-0.298482150986142,0.298482270592391,0.298482150988868,-3.91575632517904e-05,2.73487180781906e-05,-3.91575659778876e-05
0.000206199900619611,1.2686993911852e-07,2.97255744845204e-12,1.11654563057736,1.11654563057438,1.11661702270369,1.11658887737587,-1.11658875050593,-1.1165888773729,-4.32467985131968e-05,2.81453278214716e-05,-4.32468014857079e-05
0.00021218661902714,1.34875579194818e-07,3.24107947188783e-12,0.9408741439023,0.940874143899059,0.940949301405128,0.940920338918076,-0.940920204042497,-0.940920338914835,-4.61950157762958e-05,2.89624870521976e-05,-4.61950190173699e-05
0.000219202151216172,1.44720896878771e-07,3.57719058127729e-12,0.674899870347564,0.674899870343986,0.674978629105827,0.674948709031246,-0.674948564310349,-0.674948709027669,-4.88386836824395e-05,2.99200745811357e-05,-4.88386872595781e-05
0.000229454788278125,1.59799299805943e-07,4.11218001597874e-12,0.539078516018285,0.539078516014173,0.539159773982584,0.539128454470707,-0.539128294671408,-0.539128454466595,-4.99384524220714e-05,3.13195118761822e-05,-4.99384565342265e-05
0.000241215427204014,1.77794990544124e-07,4.79229955899448e-12,0.789749780582573,0.789749780577781,0.789836434463057,0.789803509678642,-0.789803331883651,-0.789803509673849,-5.37290960683778e-05,3.29247844148561e-05,-5.37291008606555e-05
0.000252961929298075,1.96988180979817e-07,5.54643087884894e-12,-0.475626395524023,-0.475626395529569,-0.475532827963003,-0.475567356090345,0.475567553078526,0.475567356095891,-5.90394336781874e-05,3.45281273418374e-05,-5.90394392246396e-05
0.000263523792407445,2.1560401334117e-07,6.29296418173062e-12,2.02908729542825,2.02908729542195,2.02918766826692,2.02915169849437,-2.02915148289035,-2.02915169848808,-6.44030661227646e-05,3.59697725547115e-05,-6.44030724155087e-05
