time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input
0,0,0,0,0,0,0
0.00147221801310331,3.3234682017617e-09,3.24020413779439e-12,0.00166990767616403,0.00166990767292382,0.00167316839580356,0.0014722174812828
0.00883330807861986,7.1740929786569e-07,4.18084823373667e-09,0.00992227684191019,0.00992227266106196,0.0100388986929495,0.00883319320582491
0.0456387584062026,9.85718310782349e-05,2.91362901759118e-06,0.048840942095389,0.0488380284663714,0.0518523949396795,0.0456229165895357
0.1,0.00102931230201514,6.49330167024973e-05,0.0997419265496949,0.0996769935329924,0.113482951751835,0.0998334166468282
0.2,0.00807863321534891,0.000973983050210872,0.171494217172846,0.170520234122635,0.220587256726392,0.198669330795061
0.3,0.0265580820496285,0.00460614740772645,0.22286323034226,0.218257082934533,0.320188934139447,0.29552020666134
0.4,0.0608800008297961,0.0135479276985752,0.268242452687308,0.254694524988733,0.419603138814443,0.389418342308651
0.5,0.114162732164132,0.0306585894569111,0.300662828839876,0.270004239382965,0.504645209758359,0.479425538604203
0.6,0.188025036693888,0.0586784463842274,0.357220185679054,0.298541739294827,0.608823569356662,0.564642473395035
0.7,0.282481327217262,0.0998926106141953,0.400974033369444,0.301081422755249,0.690989380979132,0.644217687237691
0.8,0.39594136972488,0.155861341355731,0.468489156425847,0.312627815070116,0.784098502477911,0.717356090899523
0.9,0.525311564494284,0.227225583512443,0.528934995889063,0.30170941237662,0.854710006494044,0.783326909627483
1,0.666188768952686,0.313592855912412,0.60537647920665,0.291783623294238,0.923570814561364,0.841470984807897
1.1,0.81313222209357,0.4135046681113,0.66991722018673,0.25641255207543,0.960845474421509,0.891207360061435
1.2,0.959994783973374,0.524482456182923,0.752474077558295,0.227991621375372,0.996665546870471,0.932039085967226
1.3,1.10029164482268,0.64314495545403,0.858250691167264,0.215105735713234,1.04264446752482,0.963558185417193
1.4,1.22758303191568,0.765386263920172,0.945586456516494,0.180200192596322,1.06014624214595,0.98544972998846
1.5,1.33584730155248,0.886600840891089,1.04205577844788,0.155454937556794,1.07996500094926,0.997494986604054
1.6,1.41982210876962,1.0019395216192,1.12142093451006,0.11948141289086,1.08044332112959,0.999573603041505
1.7,1.47529397204697,1.10657943633909,1.19166329303591,0.0850838566968184,1.07317876559589,0.991664810452469
1.8,1.4993202911593,1.19599055896004,1.23532348372349,0.0393329247634493,1.04386820121777,0.973847630878195
1.9,1.4903724686756,1.26618246572642,1.26256818748365,-0.00361427824276661,1.00561615906415,0.946300087687414
2,1.44839392130968,1.31391668184205,1.28886545626138,-0.0250512255806756,0.980459200931671,0.909297426825682
2.1,1.37477211511544,1.33687260134275,1.27836053000061,-0.0585120713421388,0.935922334616575,0.863209366648874
2.2,1.27222898503283,1.33375820256386,1.23538663798338,-0.0983715645804841,0.87521992662058,0.80849640381959
2.3,1.14463888949069,1.30436043464902,1.16862316186035,-0.135737272788676,0.806777010689835,0.74570521217672
2.4,0.996787326619179,1.24953398651421,1.09289126076406,-0.15664272575015,0.747152328037507,0.675463180551151
2.5,0.83408677485026,1.17113093104664,0.984473033027085,-0.186657898019557,0.671599040346723,0.598472144103956
2.6,0.662268056839491,1.07187723713617,0.861960827254426,-0.209916409881748,0.595763049800974,0.515501371821464
2.7,0.487066473771097,0.955205157659777,0.721912400015833,-0.233292757643944,0.513608366872698,0.42737988023383
2.8,0.313921604749823,0.825052865914079,0.573251985908834,-0.251800880005245,0.430778826497628,0.334988150155905
2.9,0.14770817445276,0.685644304365918,0.413598399433607,-0.272045904932312,0.341044865787616,0.239249329213982
3,-0.0074871095697811,0.541262957145168,0.236304239326684,-0.304958717818484,0.231501737409716,0.141120008059867
3.1,-0.148531174174059,0.396033144350661,0.0796839605581465,-0.316349183792514,0.1377128020201,0.0415806624332905
3.2,-0.273344995535135,0.253721497938499,-0.0651220354336193,-0.318843533372118,0.0510096143379797,-0.0583741434275801
3.3,-0.380935407480087,0.117569600805848,-0.206138900325685,-0.323708501131533,-0.0390755204599498,-0.157745694143249
3.4,-0.47135921453323,-0.0098335198973873,-0.363155301330788,-0.3533217814334,-0.158645471281187,-0.255541102026832
3.5,-0.545624633194831,-0.126633096601798,-0.481931407441711,-0.355298310839913,-0.254625421101414,-0.35078322768962
3.6,-0.605538749107805,-0.231741585027992,-0.58589102445061,-0.354149439422619,-0.347592035918692,-0.442520443294852
3.7,-0.653512684465773,-0.324823037578252,-0.668559684968195,-0.343736647389943,-0.429727854375826,-0.529836140908493
3.8,-0.692338357069505,-0.406232007554058,-0.744597436420051,-0.338365428865994,-0.514861326487858,-0.611857890942719
3.9,-0.724951973135222,-0.476912782920586,-0.80129983126404,-0.324387048343454,-0.588790008182608,-0.687766159183974
4,-0.754199683788966,-0.53826697800375,-0.831750166075913,-0.293483188072164,-0.639761234695369,-0.756802495307928
4.1,-0.782620164709458,-0.591999171615825,-0.861785892565167,-0.269786720949342,-0.690759364106843,-0.818277111064411
4.2,-0.812257322346875,-0.639951287902481,-0.889457403708898,-0.249506115806417,-0.739377017337004,-0.871575772413588
4.3,-0.844514013103976,-0.683936731591339,-0.920692863525707,-0.236756131934367,-0.791202072530712,-0.916165936749455
4.4,-0.880054750874527,-0.725584915918326,-0.937018256490497,-0.211433340572171,-0.82534320354856,-0.951602073889516
4.5,-0.918762071333244,-0.766205804987844,-0.947936598743396,-0.181730793755552,-0.847792333813993,-0.977530117665097
4.6,-0.959747734066785,-0.8066825162417,-0.963236398457413,-0.156553882215714,-0.867524156204774,-0.993691003633465
