time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input
0,0,0,0,0,0,0
0.00147221801310331,3.32346856194516e-09,3.24020437198719e-12,0.00166990820746605,0.00166990820422585,0.00167316892762408,0.00147221801310331
0.00883330807861986,7.17412097472705e-07,4.18085912710966e-09,0.00992239104537536,0.00992238686451623,0.0100390135657445,0.00883330807861986
0.0456387584062026,9.85821140614806e-05,2.91383314763899e-06,0.0488563163096318,0.0488534024764842,0.0518682367563464,0.0456387584062026
0.1,0.0010298293671065,6.49550542432896e-05,0.0998980506667802,0.0998330956125369,0.113649535105007,0.1
0.2,0.00809500373057776,0.000975331370084331,0.172666926307156,0.171691594937071,0.221917925931331,0.2
0.3,0.0266806594101043,0.00462080178580942,0.226590783859638,0.221969982073829,0.324668727478108,0.3
0.4,0.0613876223122864,0.0136263631499505,0.276595766284332,0.262969403134381,0.430184796505793,0.4
0.5,0.115680061484065,0.0309430979104514,0.316157622597874,0.285214524687423,0.525219671154156,0.5
0.6,0.191710918242794,0.0594847240548732,0.38278204425045,0.323297320195576,0.644181095961627,0.6
0.7,0.290233240448936,0.101818467832942,0.439949838776895,0.338131370943953,0.74677169374144,0.7
0.8,0.410600027542213,0.159918038447983,0.524696336171222,0.364778297723238,0.866742411578389,0.8
0.9,0.550849694077142,0.234984606998703,0.606738359960007,0.371753752961303,0.971383096866561,0.9
1,0.707869118714723,0.327339009014034,0.709781256955075,0.382442247941041,1.08209982975347,1
1.1,0.877621764606599,0.436385209417396,0.806666358856124,0.370281149438728,1.16963811436007,1.1
1.2,1.05542478823259,0.560641691989557,0.928137982920581,0.367496290931025,1.26462646090324,1.2
1.3,1.23625658535625,0.697834144725789,1.0802983802304,0.382464235504611,1.37908628210762,1.3
1.4,1.415074969711,0.845039859568754,1.22242850743567,0.377388647866914,1.47469651215749,1.4
1.5,1.58712617910226,0.998871860201245,1.38305141620905,0.384179556007808,1.5824700143452,1.5
1.6,1.7482261138156,1.15568907533193,1.53684396085028,0.381154885518355,1.68086971808809,1.6
1.7,1.89499751984744,1.31181799174536,1.69262420866192,0.380806216916564,1.78151395514342,1.7
1.8,2.02505005743261,1.46377119711031,1.83364789893282,0.369876701822513,1.87002057033957,1.8
1.9,2.13709411606997,1.60844904462542,1.97063430887484,0.362185264249424,1.95931607137674,1.9
2,2.23098358827739,1.74331227286596,2.11940591438273,0.376093641516766,2.07116177410599,2
2.1,2.3076873154665,1.86651567954331,2.24423593425452,0.377720254711215,2.1727129679677,2.1
2.2,2.3691932904473,1.97699572339066,2.3493398946163,0.372344171225646,2.26672352280099,2.2
2.3,2.41835367911991,2.07450803249761,2.44302468366051,0.368516651162899,2.36107179851312,2.3
2.4,2.45868207851378,2.15961403330141,2.53948568419389,0.379871650892473,2.47168914748636,2.4
2.5,2.49411697479682,2.23361908279304,2.61413792871271,0.380518845919676,2.57312689624277,2.5
2.6,2.52876697397617,2.29846739799215,2.68448716912106,0.386019771128908,2.68026167797951,2.6
2.7,2.56665398208135,2.35660156346577,2.74581530755002,0.389213744084245,2.78622848663887,2.7
2.8,2.6114701066698,2.41079632277521,2.80561856352054,0.394822240745332,2.89579067634172,2.8
2.9,2.66636269536704,2.46397762492411,2.85997748053674,0.395999855612629,3.00179553657363,2.9
3,2.73375973395939,2.51903844718178,2.90064063013842,0.381602182956637,3.09038172934985,3
3.1,2.815244957854,2.57866274144392,2.96429750667171,0.38563476522779,3.19613213958681,3.1
3.2,2.91148868407638,2.64516798742397,3.0404855678229,0.395317580398926,3.30938375776556,3.2
3.3,3.02223676670717,2.72037535822416,3.11963782010321,0.399262461879051,3.4186701736833,3.3
3.4,3.14635644561587,2.80551452297095,3.18051839589762,0.37500387292667,3.49689563074564,3.4
3.5,3.28193441963454,2.90116776504362,3.27604127989024,0.374873514846618,3.59615780658821,3.5
3.6,3.42641943483669,3.00725553857736,3.38159723734272,0.374341698765364,3.69492840737616,3.6
3.7,3.57679920921667,3.12306298366792,3.50262680350766,0.379563819839737,3.80010828653267,3.7
3.8,3.72979974908175,3.24730443278716,3.62359074348321,0.376286310696052,3.89699656445486,3.8
3.9,3.88209413480338,3.37822071579486,3.75646508641033,0.378244370615469,3.99897615100137,3.9
4,4.03050769816695,3.51370223610953,3.90757869376902,0.393876457659484,4.11704126061256,4
4.1,4.1722071629559,3.65142944552387,4.05063176353375,0.399202318009874,4.22751774695757,4.1
4.2,4.30486270851144,3.78902155604826,4.18721861383018,0.398197057781925,4.33219875507658,4.2
4.3,4.42677393372247,3.92418412408829,4.31114273991638,0.386958615828084,4.42496386421874,4.3
4.4,4.53695320219601,4.05484651843538,4.44067663666379,0.385830118228414,4.52625887034096,4.4
4.5,4.63516266924072,4.17928119699344,4.56616401237059,0.386882815377146,4.6297377838511,4.5
4.6,4.72190424494854,4.29619809441989,4.67769567838072,0.381497583960837,4.72616684742869,4.6
4.7,4.79836465007998,4.404809164508,4.78411149850284,0.37930233399484,4.82479979043866,4.7
4.8,4.86632039684282,4.50486010873915,4.8890835877826,0.384223479043452,4.93095206506589,4.8
4.9,4.92800981884456,4.59662842638532,4.99466389739803,0.398035471012709,5.04853020043713,4.9
5,4.9859810558899,4.68088900937793,5.05436443180369,0.373475422425757,5.12608721145847,5
5.1,5.04292607770001,4.7588504497368,5.12530955346582,0.366459103729018,5.21710525758048,5.1
5.2,5.10151135375791,4.83206691446107,5.21265208302883,0.380585168567759,5.33033173615993,5.2
5.3,5.1642156338278,4.90233177769689,5.28900141997019,0.386669642273294,5.43814840874038,5.3
5.4,5.23318452580614,4.97156011263254,5.35540418125745,0.383844068624909,5.53743486578513,5.4
5.5,5.31011021283217,5.04166759396681,5.42936609646662,0.387698502499811,5.64357677885743,5.5
5.6,5.3961428408293,5.11445333375249,5.49288092852542,0.378427594772932,5.73579863658281,5.6
5.7,5.49183795687387,5.19149368626818,5.56242578830948,0.370932102041295,5.82758397484415,5.7
5.8,5.59714203066034,5.2740531561598,5.65099871897883,0.376945562819029,5.93276085464267,5.8
5.9,5.71141569591264,5.36301729712142,5.75510326575777,0.39208596863635,6.04992193262417,5.9
6,5.83349205390935,5.45885098343465,5.85581699452953,0.396966011094877,6.15941625715005,6
6.1,5.96176532436575,5.56158377424355,5.95125041912199,0.389666644878443,6.25633925328336,6.1
6.2,6.09430342773314,5.67082237732938,6.06712593465558,0.396303557326206,6.36719224776527,6.2
6.3,6.22897682990269,5.78578856178616,6.17722747665665,0.391438914870498,6.4667113122329,6.3
6.4,6.36359523727062,5.90537936690321,6.28888618628485,0.38350681938164,6.56144882223548,6.4
6.5,6.4960435258504,6.0282451944998,6.40813724151946,0.37989204701966,6.65899841922552,6.5
6.6,6.62440861743298,6.15288042304614,6.52852482431091,0.375644401264775,6.75486930802213,6.6
6.7,6.74708984106908,6.27772059197155,6.65365328061986,0.375932688648309,6.8547778671762,6.7
6.8,6.86288657265016,6.40123999790908,6.78416909392723,0.382929096018159,6.9623993455207,6.8
6.9,6.97105853831505,6.52204372132831,6.8960561321734,0.374012410845094,7.05376011664189,6.9
7,7.07135599029915,6.63894863869162,7.01855501133255,0.379606372640935,7.15927600612569,7
7.1,7.16401889766608,6.7510488273122,7.14181066665461,0.390761839342409,7.27260600538578,7.1
7.2,7.24974621722621,6.85776187505546,7.24844646066816,0.390684585612701,7.37610594786585,7.2
7.3,7.32963810462763,6.95885388904629,7.35433823890999,0.3954843498637,7.48513738839833,7.3
7.4,7.40511548656064,7.05444237242398,7.446971771425,0.392529399001027,7.58661327254834,7.4
7.5,7.47782265445586,7.14497751880479,7.55343152438311,0.408454005578316,7.70879823378842,7.5
7.6,7.54951939272729,7.23120377585657,7.64226113950802,0.411057363651446,7.82003982783735,7.6
7.7,7.62196958105329,7.31410467524328,7.70310537304271,0.389000697799421,7.90389868080884,7.7
7.8,7.69683319829776,7.39483485120243,7.78315802562951,0.388323174427085,8.00624841401169,7.8
7.9,7.77556822054763,7.47464382484979,7.84625924665772,0.371615421807923,8.09016979340848,7.9
8,7.85934808786465,7.55479648477887,7.93850752454953,0.383711039770655,8.20245171886893,8
8.1,7.94899927628127,7.63649523490114,8.02391959324742,0.387424358346278,8.30839772195705,8.1
8.2,8.0449621334025,7.72080851555325,8.11323193302594,0.392423417472687,8.41679177837794,8.2
8.3,8.14727660985449,7.80860985988743,8.20693084752084,0.398320987633412,8.52753390732658,8.3
8.4,8.25559294292019,7.90053086687758,8.31109035470451,0.41055948782693,8.64705792462987,8.4
8.5,8.36920582102065,7.99693051041439,8.39867356046895,0.401743050054565,8.74585741636555,8.5
8.6,8.48710917007602,8.09788212568516,8.49446611088893,0.396583985203769,8.8464832782841,8.6
8.7,8.60806753547375,8.20317828909296,8.60242075484472,0.39924246575176,8.95464097456497,8.7
8.8,8.73069915054235,8.31235270668382,8.7168155930602,0.40446288637637,9.06641991526342,8.8
8.9,8.85356522873546,8.42471721498996,8.81479722783321,0.390080012843244,9.15726643814137,8.9
9,8.97525981524166,8.5394111362294,8.92342352769954,0.384012391470149,9.25376622365332,9
9.1,9.09449468522441,8.65545956474961,9.03999917720381,0.384539612454201,9.35616507218178,9.1
9.2,9.21017425952845,8.77183672767793,9.13462042113911,0.362783693461177,9.43333664703922,9.2
9.3,9.32145628400046,8.88753037890121,9.26561230478578,0.378081925884569,9.5469231940917,9.3
