compassSystemErrorCrossCorrelation,compassFilterErrorCrossCorrelation,fullSystemErrorCrossCorrelation,gyroFilterErrorCrossCorrelation,gyroSystemErrorCrossCorrelation,errorAutoCorrelation
3.72529029846191e-11,1.86264514923096e-11,-9.31322574615479e-12,-2.91038304567337e-13,1.86264514923096e-11,1.16415321826935e-12
3.14274802803993e-08,3.12924385070801e-08,3.11341136693954e-08,-1.31403794512153e-10,3.09059396386147e-08,-1.40280462801456e-10
9.42545011639595e-08,9.38680022954941e-08,9.3500129878521e-08,-3.60596459358931e-10,9.26991924643517e-08,-4.22005541622639e-10
1.883739605546e-07,1.87689438462257e-07,1.87307596206665e-07,-3.76094249077141e-10,1.85742974281311e-07,-8.07922333478928e-10
5.96591271460056e-07,5.94346784055233e-07,5.92875294387341e-07,-1.46661477629095e-09,5.88004477322102e-07,-2.6196357794106e-09
1.31853390485048e-06,1.31368637084961e-06,1.31013803184032e-06,-3.55919837602414e-09,1.29935797303915e-06,-5.80810592509806e-09
2.35393177717924e-06,2.34557315707207e-06,2.34257429838181e-06,-2.99834937322885e-09,2.32330523431301e-06,-1.03237107396126e-08
4.33080829679966e-06,4.31567430496216e-06,4.31127846240997e-06,-4.38121787738055e-09,4.27608378231525e-06,-1.92422885447741e-08
7.2482880204916e-06,7.22354277968407e-06,7.21447635442018e-06,-9.0448884293437e-09,7.15603586286306e-06,-3.26646841131151e-08
1.11055606976151e-05,1.10688107088208e-05,1.10665382817388e-05,-2.26471456699073e-09,1.09776668250561e-05,-5.07431104779243e-08
2.43832916021347e-05,2.42991512641311e-05,2.42658564820886e-05,-3.32907075062394e-08,2.4071978405118e-05,-1.1241645552218e-07
4.70724422484636e-05,4.69098938629031e-05,4.68158721923828e-05,-9.4025454018265e-08,4.64406330138445e-05,-2.16110493056476e-07
7.91648356243968e-05,7.88970664143562e-05,7.88178201764822e-05,-7.9222081694752e-08,7.81824998557568e-05,-3.59410187229514e-07
0.000205468013882637,0.000204736506566405,0.000204333509318531,-4.03011799789965e-07,0.000202682707458735,-9.30040259845555e-07
0.000425891573540866,0.000424381108023226,0.000423350394703448,-1.03071390185505e-06,0.000419915490783751,-1.91605067811906e-06
0.000740353837609291,0.000737790302373469,0.000736913313157856,-8.76972917467356e-07,0.000730908359400928,-3.29994829371572e-06
0.00199692379683256,0.00198971643578261,0.00198562722187489,-4.08920284826308e-06,0.00196950058452785,-8.95880628377199e-06
0.00419469135813415,0.00417968165595084,0.00416937474627048,-1.03069009492174e-05,0.00413543603383005,-1.87668309081346e-05
0.00733283427543938,0.00730727549642324,0.00729859477840364,-8.68072151206434e-06,0.00723897867137566,-3.25481779873371e-05
0.0198914604866877,0.0198194402270019,0.0197786643262953,-4.07758896471933e-05,0.0196178604080342,-8.90770519617945e-05
0.0418609705707058,0.0417109010461718,0.0416079263621941,-0.000102974661276676,0.0412690458004363,-0.000187099317554384
0.0732326341653243,0.0729770474461839,0.0728903016634285,-8.67457763524726e-05,0.072294711440336,-0.000324854800710455
0.198749341107905,0.198029342656955,0.197621910348535,-0.000407432303181849,0.196014999169856,-0.000889827867504209
0.418265360090882,0.416765473480336,0.415736676990055,-0.00102879648969974,0.412350470011588,-0.0018692723440472
0.731642758334056,0.729088861364871,0.728222950864583,-0.000865910509601235,0.722272471212782,-0.00324538823449984
1.87350276018027,1.86675306322053,1.86315618435387,-0.00359687887248583,1.84800760948565,-0.00838829501881264
3.83868928703945,3.82500064279884,3.81602649266366,-0.00897415012295824,3.78497031121515,-0.0171790312032681
6.6220969039714,6.59910663205199,6.59186786663718,-0.00723876541189384,6.53809643199667,-0.0294617972499691
10.2186625130475,10.1843908686517,10.1804878289485,-0.00390303968801163,10.0979814226157,-0.0459590413526166
17.1571422287775,17.1000532235671,17.0851171100745,-0.014936113510048,16.9479970687139,-0.0785613232757896
27.358758415808,27.2692972395709,27.254715372785,-0.0145818667829735,27.038184038687,-0.127326037762687
40.7454444929119,40.616031927783,40.6073722286848,-0.00865969910053536,40.2877533462876,-0.192357656242093
57.2397808542103,57.0648758857045,57.0700338666677,0.00515798098698724,56.6256497014384,-0.274759465424577
82.0584674351709,81.8137980377069,81.8073867343646,-0.00641130337084178,81.1754516979307,-0.398957522434648
114.623000510246,114.291073888429,114.303866886431,0.0127929980040062,113.430105186633,-0.566001570945373
154.367857376314,153.938017963162,153.961959479218,0.0239415160840144,152.800212740891,-0.776722040626919
198.765164753823,198.241548047438,198.302037187144,0.0604891396948369,196.82727276006,-1.02068841736997
243.600537531413,243.00791436132,243.134011130899,0.126096769582364,241.355133285597,-1.27904350650148
288.868384726038,288.233957169955,288.497814964654,0.263857794714277,286.436688025917,-1.56388784584473
334.561971541778,333.916692559153,334.16013431841,0.243441759254201,331.84935227386,-1.8852129546972
381.54383401107,380.919698637689,381.106911018935,0.187212381262216,378.554788011912,-2.22973790209857
429.760593836783,429.192844930433,429.387639517302,0.194794586854405,426.581283494292,-2.57605378023698
479.160951420614,478.685892128425,478.718062391863,0.0321702634636313,475.640684827967,-2.92087264980422
529.694480910925,529.34895154102,529.210992462942,-0.137959078089334,525.847680300884,-3.26615889812121
582.413870106088,582.230861797812,581.86115910715,-0.369702690665144,578.185500416281,-3.61275403619045
637.104266194608,637.118019958031,636.623543111843,-0.494476846222533,632.600219011297,-3.94811008091318
693.559804091332,693.804279152257,693.357903135037,-0.4463760172209,688.937644764446,-4.25535592260305
751.669753112495,752.176355213732,751.869015626546,-0.307339587177848,746.990828363164,-4.52138925819891
812.253215006171,813.04562119867,812.780641168742,-0.264980029920698,807.372280462689,-4.74512625652715
875.256067225966,876.353440868987,876.16203654415,-0.191404324832838,870.148474050746,-4.92259775354527
940.623362403912,942.039940372943,941.883846064643,-0.156094308291795,935.194942246687,-5.05714033981785
1011.46494706288,1013.19800488658,1013.0934814069,-0.104523479695199,1005.63671601781,-5.16497143956483
1087.43937502061,1089.48487245966,1089.53673032557,0.0518578659079503,1081.2402712368,-5.26256724780949
1168.2012600157,1170.55562088885,1170.62623819701,0.0706173081381712,1161.43988142365,-5.36727317206678
1253.40857792729,1256.07036114132,1256.24023798971,0.169876848409767,1246.11891099746,-5.48044366742804
1346.55399496928,1349.50876721052,1349.72252403478,0.21375682427315,1338.58563651058,-5.61082295392611
1438.69124171429,1441.9615952837,1442.42475736306,0.463162079354515,1430.25359671322,-5.70777096534526
1529.80536123883,1533.41036029796,1534.13831139512,0.727951097181649,1520.91606900415,-5.7725952206846
1619.88119000353,1623.83684964036,1624.74701108879,0.910161448437138,1610.47462429225,-5.82349335030929
1704.47284314651,1708.81162423036,1709.745171558,0.933547327633132,1694.46282442729,-5.84441745476026
1783.85102709184,1788.60155747536,1789.71032280137,1.10876532600174,1773.45994528207,-5.83957632853155
1857.0252484,1862.21740015837,1863.11980002517,0.902399866798078,1845.94742180032,-5.80106532663805
1924.17028305108,1929.82916241675,1930.52380253084,0.694640114103968,1912.43909178101,-5.69560080264782
1985.46792774784,1991.61058073178,1992.21273437368,0.602153641897312,1973.21555637812,-5.51492284318432
2033.1872819014,2039.85296809754,2040.11019566993,0.257227572372067,2020.2680448611,-5.22992616854724
2068.31701346082,2075.52899275989,2075.75447079545,0.225478035556152,2055.10760258439,-4.8257446228445
2101.75524823287,2109.47985944071,2109.59370836901,0.113848928318621,2088.07713267146,-4.33233577979321
2134.15723098221,2142.34754104004,2142.33182255866,-0.0157184813870117,2119.86985140034,-3.74707208100706
2165.54034012358,2174.13766371551,2173.9521063482,-0.185557367320289,2150.46518126375,-3.06652645375347
2195.92105061024,2204.85428241199,2204.39233300496,-0.461949407048523,2179.79907447175,-2.28979500962771
2215.78217784247,2225.00584553585,2224.3329937812,-0.67285175463272,2198.63699488343,-1.38390929850051
2226.5350060399,2235.98351270791,2235.61995519909,-0.363557508818048,2208.8657294325,-0.406091860651504
2235.71246592725,2245.28197842166,2244.61783650458,-0.664141917076777,2216.85181317452,0.549083238655003
2243.42156587731,2253.00842662141,2252.16309536562,-0.845331255800556,2223.40772829051,1.50353364604875
2249.77153501216,2259.27030235583,2258.69152343855,-0.578778917277814,2228.95598558961,2.4686060971627
2254.15875826412,2263.46434649551,2262.53593566904,-0.928410826461623,2231.86475332025,3.41386964511476
2255.24961075449,2264.26334823187,2263.13938645701,-1.12396177485003,2231.61765386447,4.31235956665478
2253.32607664798,2261.95284638521,2260.47226285405,-1.48058353117434,2228.23890430739,5.10873746488709
2248.66025973455,2256.81457196839,2254.76217101985,-2.05240094851353,2221.96718966078,5.79049495480489
2241.74025681339,2249.34623968389,2247.35441367247,-1.99182601139473,2214.10873532943,6.38925259535317
2240.74741078012,2247.70570523069,2245.83542892565,-1.87027630504803,2212.19361038108,6.85664018539246
2245.39286628789,2251.61934750613,2249.12113869556,-2.49820881054562,2215.1521818149,7.17984637442394
2255.38714294273,2260.81352413473,2257.92339333164,-2.89013080307341,2223.68072604754,7.37724396600272
2280.99008579119,2285.52003269645,2281.97218281409,-3.54784988233412,2247.41616397719,7.41430622612359
2309.3593188314,2312.96379733646,2308.87855781464,-4.085239521818,2274.04741813694,7.3754034662433
2338.4630371337,2341.13038525063,2337.33053427488,-3.79985097572906,2302.31401571053,7.23605767662753
2368.24539446928,2369.97667429462,2365.83731075094,-4.13936354367761,2330.7814815394,6.94187775336322
2398.647310053,2399.46112819891,2394.78646237163,-4.67466582726571,2359.79253936163,6.53736217693426
2433.50068528081,2433.41339295953,2428.83652777071,-4.57686518881528,2393.9373200128,6.04341917030513
2462.163124807,2461.24371605514,2456.22612499361,-5.01759106154146,2421.51563805282,5.53163132125395
2485.01827680674,2483.336825737,2478.18297209923,-5.15385363778507,2443.71792839899,5.03180043527391
2502.45715426533,2500.08302495146,2494.91171613551,-5.17130881595891,2460.79697687489,4.49029524941812
2513.27257459269,2510.28734131298,2504.29363280842,-5.99370850455249,2470.70731130887,3.84786590541946
2522.11052246667,2518.58981289851,2512.32030542728,-6.269507471252,2479.37890524801,3.10885400476749
2529.15679175051,2525.18634207617,2518.47498916852,-6.71135290764563,2486.23095477064,2.33603511858149
2534.60306560613,2530.27223124253,2523.08882287828,-7.18340836424846,2491.53776058703,1.58277522696997
2539.334404151,2534.72799923259,2527.3782897942,-7.34970943837718,2496.49473139534,0.859643447720446
2538.22583571866,2533.44658808185,2525.86649712626,-7.58009095560585,2495.67951515616,0.177089999408927
2531.53582885052,2526.68136423069,2518.99656008396,-7.68480414672173,2489.50926052486,-0.440113266060362
2519.52608972342,2514.68715776574,2507.69141197233,-6.99574579338252,2478.90471953331,-0.990101338011446
2490.39264016905,2485.70122395588,2479.13129884145,-6.56992511443328,2451.1577441195,-1.43544402823783
2455.48670371165,2451.01989975612,2444.82404777383,-6.19585198226676,2417.66786337675,-1.81015483582043
2411.6351615952,2407.47601604052,2401.37240840671,-6.10360763379838,2375.07033193058,-2.10728536212991
2359.47617004328,2355.69688160016,2349.86101955142,-5.83586204873747,2324.3922861859,-2.27894450097403
2299.65023850124,2296.30638865941,2291.60641263003,-4.69997602937743,2266.88843163975,-2.27256031351921
