compassSystemfullSystemErrorCrossCorrelation,compassFilterfullSystemErrorCrossCorrelation,fullSystemfullSystemErrorCrossCorrelation,gyroFilterfullSystemErrorCrossCorrelation,gyroSystemfullSystemErrorCrossCorrelation,fullSystemErrorAutoCorrelation
-0.00522789680897923,-0.00380170300403344,-0.00474754698890527,-0.000945843980714147,-0.0065694687073119,-0.000800327601609752
-0.00581568225087332,-0.00419908510022131,-0.00519628759190839,-0.000997202504160149,-0.00723417579138186,-0.000890311369273279
-0.00642004276076997,-0.0045992384548299,-0.00579077662509267,-0.00119153817026277,-0.00805767764229261,-0.000981608838109033
-0.00717381301053267,-0.00511146883945912,-0.00636680648936557,-0.00125533766030068,-0.00892414396262861,-0.00109042384844672
-0.00797085789132065,-0.00564764216791705,-0.00694078814246625,-0.0012931459745492,-0.0098041393731754,-0.00120912785184503
-0.00876405719567888,-0.00616554140495802,-0.00755233024704337,-0.00138678884832188,-0.0107286234690816,-0.00132504831916387
-0.00963482328890158,-0.00672989272529126,-0.00828171262712983,-0.00155181991119337,-0.0118136908760269,-0.00144554336085483
-0.010667345611312,-0.00741598523953663,-0.0091163434948872,-0.00170035825535056,-0.0130788858592236,-0.0015762209274856
-0.0116965070940621,-0.00808201989067519,-0.00991852778159747,-0.00183650789300113,-0.0143041739912795,-0.00172137139166547
-0.0127152516756074,-0.0087160217184906,-0.0109346687828033,-0.00221864706899006,-0.0157540257797726,-0.00186364828576708
-0.0137170952179336,-0.00931320146108711,-0.0115755602998563,-0.00226235882811514,-0.0168447088051055,-0.00199487331285906
-0.0146784063337171,-0.00986009609914618,-0.0122387465819754,-0.00237865049816069,-0.0179347723346187,-0.0021354460841394
-0.0156263321862623,-0.0103767545058093,-0.0129733218918773,-0.0025965673911352,-0.0191135813895796,-0.00226626336266885
-0.0166039266270153,-0.010897878130241,-0.0134579660581429,-0.0025600879286815,-0.0200811231334228,-0.0023905415333242
-0.0175367301666743,-0.0113592512134346,-0.0138570304103009,-0.0024977792064809,-0.0209602101822384,-0.00251058465801179
-0.0184291671986492,-0.0117660380897827,-0.0144698733860683,-0.00270383530525058,-0.0220531172069189,-0.00262553488885585
-0.0192663918164076,-0.0121045938275139,-0.0150311481504884,-0.0029265543188168,-0.0231085149238684,-0.00272029808339929
-0.020058736500297,-0.0123850543144986,-0.0153389425442063,-0.00295388823464496,-0.0239349170234553,-0.00278817287679496
-0.0209013796582959,-0.0126921063565533,-0.0158198533877762,-0.00312774701965931,-0.0249665940895544,-0.00286597602618193
-0.0217227499342698,-0.0129634914958712,-0.0164799762897019,-0.00351648480240588,-0.0262137174203027,-0.00291973931598477
-0.0225433737679331,-0.0132108734959339,-0.0166678564177606,-0.00345698293040186,-0.0270293588504761,-0.00296023416116701
-0.023376295675007,-0.0134539934806526,-0.0168555008858675,-0.00340150740469523,-0.0278750065938636,-0.00299491133150046
-0.0242277665074653,-0.0136902536453688,-0.0174110443565171,-0.00372079071322722,-0.0291313549324903,-0.0030279263716823
-0.0251760253814999,-0.0139860120387831,-0.0182933892392612,-0.0043073772052529,-0.0308025421857435,-0.00305213267815166
-0.0261131075042483,-0.0142534251769705,-0.0186543329083569,-0.00440090773762287,-0.0319829513838548,-0.00307061298683818
-0.027111812977377,-0.0145493776331672,-0.0194299747870121,-0.0048805971657982,-0.0336048384072326,-0.00312089038821536
-0.0280136303827671,-0.0147356951721512,-0.0203344171074735,-0.00559872192492808,-0.035352915155402,-0.00316468542899072
-0.0289113894559705,-0.0148922209139398,-0.020961925595267,-0.00606970468886305,-0.0368571779836202,-0.00320924854999508
-0.0298091087923759,-0.0150276343961845,-0.0216796743583732,-0.00665203995829091,-0.0384643141878769,-0.00327189450867341
-0.0306572134213638,-0.0150979255080789,-0.0223843669705924,-0.00728644146563186,-0.0400808008894923,-0.00332154152160261
-0.0315379013793842,-0.0151702076150936,-0.0229941290121392,-0.00782392140068363,-0.0416366465381413,-0.0033873764571451
-0.0324215763508359,-0.0152205720535546,-0.0235846461354023,-0.00836407408470612,-0.0431812728264569,-0.003476677002774
-0.0332010043691428,-0.0151504965282844,-0.0239749394323943,-0.00882444289683398,-0.0445048753795813,-0.00357588098839707
-0.034030622926366,-0.0150959809460411,-0.024813121662841,-0.00971714071887878,-0.0463450505901294,-0.00366485284445974
-0.0349433903507556,-0.0150877028499963,-0.0256899997496345,-0.010602296889244,-0.0482848905875081,-0.00376299961810998
-0.0358179689605354,-0.0150169249515914,-0.0263031102492408,-0.0112861852976494,-0.0499647031080843,-0.00387210093426152
-0.0366098242188205,-0.0148413791986448,-0.0267367617385129,-0.0118953825445455,-0.0514621198505795,-0.00398626187026301
-0.037304095838668,-0.0145490491018531,-0.0270982401915327,-0.012549191094357,-0.0528776283962153,-0.00410068471059536
-0.0379314213475612,-0.014166151183807,-0.0276951746865442,-0.0135290235022174,-0.0545239278830455,-0.00422263325786584
-0.0385101106782843,-0.0137111755902879,-0.0280571705640926,-0.0143459949774426,-0.0559898321204985,-0.00431271265551914
-0.0390252222859999,-0.0131705121436555,-0.0281612868774183,-0.0149907747233686,-0.0572186445019075,-0.00439192118314427
-0.0396031669099882,-0.0126477557205362,-0.0282874726835871,-0.0156397169625312,-0.0585316569486167,-0.00448005054620028
-0.0400547546243096,-0.0119838199607329,-0.0286284874434516,-0.016644667476742,-0.0600502936493805,-0.00456299207144184
-0.0403903944617403,-0.0111824370604674,-0.0287755634718841,-0.0175931264094028,-0.0613882070954008,-0.00462722248006945
-0.0406485800506614,-0.0102801272213193,-0.02853459945514,-0.018254472227844,-0.0623694273495598,-0.00467223134390744
-0.0408498505754064,-0.00930186707617915,-0.0286173944602654,-0.0193155273804483,-0.0637030728861906,-0.004702853929952
-0.0409491564662728,-0.00820525533345062,-0.0282669186895613,-0.0200616633566304,-0.0646417503344959,-0.00470210831357625
-0.0410089920166813,-0.00704114275868051,-0.0280929829480426,-0.021051840185984,-0.0658099124598916,-0.00468973387562853
-0.0410538066644222,-0.0058307777279489,-0.027511366154483,-0.021680588421337,-0.0666207714166376,-0.00467326053071052
-0.0410343394510814,-0.00453144338514124,-0.0270846157769224,-0.0225531723813869,-0.0676274706285247,-0.00464409320401111
