time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input,fullSystemError
0,0,0,1.91772603719505,1.91772603719505,1.91772603719505,1.91772603719505,0
1.42062956085677e-05,-3.69057601105106e-10,-2.60588354928021e-15,1.78482222330997,1.78482222330997,1.78479674553268,1.78479480643937,2.74168705947098e-05
2.42463523944343e-05,-5.3321632597274e-10,-1.67759526439488e-14,0.198443864731641,0.198443864731658,0.198463231189768,0.198459921675387,-1.6056943745596e-05
3.42864091803009e-05,3.14025419927246e-10,-2.06450564776097e-14,-0.0620549072130137,-0.0620549072129931,-0.0620147106668217,-0.062019390602279,-3.55166107347052e-05
4.60084914913695e-05,1.39389495833791e-09,7.63638609612607e-15,1.03134551070998,1.03134551070997,1.03136605841757,1.03135977847237,-1.42677623953258e-05
5.65745788435581e-05,1.96573840399136e-09,5.43132805856696e-14,0.886676460474984,0.88667646047493,0.886709561227214,0.886701839060214,-2.53785852298849e-05
6.92037164934815e-05,3.50757996452384e-09,1.44484643023093e-13,2.48224474157624,2.4822447415761,2.48229820490711,2.48228875892153,-4.40173452855852e-05
7.85073101206134e-05,4.77040011746265e-09,2.4588793254728e-13,1.9563640166818,1.95636401668156,1.9564304264312,1.95641971054834,-5.56938665408069e-05
8.78109037477454e-05,5.96932798070128e-09,3.79532253812325e-13,0.878444044329649,0.878444044329269,0.87848312351196,0.878471137731827,-2.70934021788793e-05
9.37278723635257e-05,6.52632998213627e-09,4.7747835103898e-13,2.25672935745525,2.25672935745477,2.25677174273275,2.25675894931391,-2.95918586639132e-05
9.9644840979306e-05,7.28182615900517e-09,5.85235303814556e-13,1.85906873554972,1.85906873554913,1.85913879159018,1.85912519053263,-5.64549829067396e-05
0.000105695230508887,8.21103860047271e-09,7.0974994776165e-13,0.666912085122585,0.666912085121876,0.666970134225688,0.666955707318096,-4.362219551024e-05
0.000111990616938819,9.23634289657734e-09,8.54822747255117e-13,2.13689934585561,2.13689934585476,2.13697895075756,2.13696366455898,-6.43187033722015e-05
0.000118912528782813,1.05938177335989e-08,1.03664344838436e-12,0.265919811112599,0.265919811111563,0.266002160950587,0.265985929943227,-6.6118830627182e-05
0.000124951228051161,1.18134863253602e-08,1.21575496181664e-12,2.23278548989589,2.23278548989468,2.23288394180935,2.23286688654761,-8.13966517192455e-05
0.00013063895846424,1.30968986986715e-08,1.40378469310077e-12,1.32582221831786,1.32582221831645,1.32590804075509,1.3258902091446,-6.79908267409157e-05
0.000136022814493395,1.4229079837541e-08,1.59861166597737e-12,3.46128508645441,3.46128508645281,3.46138245478262,3.46136388830081,-7.88018464001894e-05
0.000142149504387933,1.58705348558503e-08,1.84259213126306e-12,1.73474187004382,1.73474187004198,1.73486395604501,1.73484455329851,-0.000102683254682212
0.000148608678906861,1.7780192006769e-08,2.13044482347164e-12,1.42420838234745,1.42420838234532,1.42433950079988,1.42431921640608,-0.000110834058633102
0.000158227284252134,2.1078704501552e-08,2.62383651919479e-12,1.7874284567808,1.78742845677817,1.78759900376298,1.78757740647427,-0.00014894969347834
0.000166056860500721,2.44011170996484e-08,3.09491868140726e-12,1.68687349085511,1.68687349085202,1.68706019893225,1.68703753294278,-0.00016404208766696
0.000172961847106363,2.76679516573622e-08,3.57122593850544e-12,1.46508543866821,1.46508543866463,1.46527717048586,1.46525356199782,-0.000168123329614467
0.000179771064697407,3.11003944720466e-08,4.1004688499415e-12,0.3435252255007,0.3435252254966,0.343754048526043,0.343729510611458,-0.000204285110757985
0.000193006849769428,3.83778172127481e-08,5.31945725582859e-12,2.71731811769879,2.71731811769348,2.71754014300912,2.7175137984714,-0.000195680772607343
0.000203694619492116,4.42188262373368e-08,6.48902740545108e-12,0.472730717969076,0.472730717962587,0.472965546781113,0.472937743412518,-0.000207025443442865
0.000216764171986186,5.18777409016525e-08,8.15313343493195e-12,2.10842756435377,2.10842756434561,2.10867456273878,2.10864497543703,-0.000217411083260011
0.000229833724480256,6.01541361668447e-08,1.00883732193297e-11,1.34909923497174,1.34909923496165,1.34940120236886,1.34936983113396,-0.000270596162218917
0.000234701595082959,6.37569563780686e-08,1.08874673495846e-11,1.06802457184287,1.06802457183198,1.06834388334514,1.06831184766853,-0.000287275825656019
0.000239569465685663,6.74113152900318e-08,1.17336433574584e-11,2.23617832443798,2.23617832442624,2.23650143269204,2.23646873257372,-0.000290408135739995
0.000246539752166751,7.29497997064454e-08,1.30293133146402e-11,-0.253348430153384,-0.253348430166413,-0.25299207030692,-0.25302572183694,-0.000322708316443931
0.000254194315975711,7.97350219480179e-08,1.45765362848237e-11,-0.0300710173516747,-0.0300710173662512,-0.0296566082871761,-0.0296913046295701,-0.000379712722104547
0.000260373594795207,8.5951127734582e-08,1.5933142364147e-11,1.03615885702474,1.03615885700881,1.0365789840918,1.03654344430658,-0.000384587281836657
0.000265465825005219,9.107023727389e-08,1.71276451412191e-11,1.27816833059188,1.27816833057475,1.27859491859171,1.27855868374073,-0.000390353148852274
0.000270740441570195,9.646547928775e-08,1.84384054705474e-11,0.716808817587787,0.716808817569348,0.717240011723231,0.717203056911615,-0.000394239323828205
0.000275906665618014,1.01698651818816e-07,1.9795165086508e-11,1.45374415147783,1.45374415145804,1.45416714860512,1.45412948862794,-0.00038533715010991
0.000280275276887699,1.06042674202528e-07,2.09978505983927e-11,0.434195106738333,0.434195106717335,0.434623933251748,0.434585676979438,-0.000390570241105614
0.00028429319007584,1.10182213306915e-07,2.21489552509459e-11,-0.278080891587655,-0.278080891609804,-0.277630165222073,-0.277668969920853,-0.000411921666801818
