time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input,error
0,0,0,0.0326207652908775,0.0326207652908775,0.0326207652908775,0.0326207652908775,0
4.18998522640659e-06,1.31662174423345e-10,4.9681503537732e-16,3.41632673121614,3.41632673121614,3.41634827132451,3.416347699411,-2.09681948653007e-05
8.37997045281318e-06,3.94004726517423e-10,3.39552251553986e-15,0.177424437395379,0.177424437395375,0.177446371412753,0.177445227585744,-2.07901903650776e-05
1.28007248830539e-05,6.97120692226534e-10,9.62589692482274e-15,0.234457139609124,0.234457139609115,0.234491122922602,0.234489375683165,-3.22360740409311e-05
1.71600176545493e-05,1.17571848397365e-09,2.01504947614147e-14,0.297276162114002,0.297276162113982,0.297341346832356,0.297339004569722,-6.28424557207463e-05
2.18636977350475e-05,1.9935847446429e-09,3.97891973334401e-14,0.899376476962747,0.899376476962707,0.899452291961376,0.899449307668278,-7.28307055314348e-05
2.6675961603676e-05,2.92256269296736e-09,7.10390876549386e-14,1.19189197794991,1.19189197794984,1.1919755887893,1.19197194764455,-7.99696946403028e-05
3.2137641945134e-05,3.98317195589757e-09,1.21069793721505e-13,0.884305133965852,0.884305133965731,0.884384104419085,0.884379717780366,-7.45838145139732e-05
3.73349339551605e-05,5.04346330455585e-09,1.83043098559216e-13,1.20637850737712,1.20637850737694,1.20646888431747,1.20646378827256,-8.52808954387996e-05
4.28051465760826e-05,6.3474317668036e-09,2.65449300589678e-13,-0.409495526032709,-0.409495526032975,-0.409395217902978,-0.409401060606486,-9.44654262230449e-05
4.82599356330526e-05,7.83700451619888e-09,3.67581817587354e-13,0.43613961602425,0.436139616023882,0.436262661292659,0.436256074035803,-0.000116458011553078
5.36406209597242e-05,9.46628169807325e-09,4.90903247867037e-13,0.604110016349272,0.604110016348781,0.604234939273789,0.6042276175784,-0.000117601229128517
5.84055009997847e-05,1.09961360434103e-08,6.19906568783987e-13,1.10142924481172,1.1014292448111,1.10157083025675,1.10156285817738,-0.00013361336566442
6.570944325457e-05,1.36042850579716e-08,8.57052737381848e-13,0.548632195993385,0.548632195992528,0.548811181887254,0.54880221285373,-0.000170016860344679
7.23775486609306e-05,1.64411086073104e-08,1.12263423684018e-12,1.3547501727975,1.35475017279637,1.35493704703141,1.35492716783249,-0.000176995034998351
7.86907702521187e-05,1.94184735498997e-08,1.42201926189969e-12,1.48464966396795,1.48464966396652,1.48486922959577,1.48485848867146,-0.000208824703515686
8.43281422828005e-05,2.23901708846679e-08,1.73440356575969e-12,2.01571297237555,2.01571297237381,2.01592483764958,2.0159133272502,-0.000200354874653641
8.88441570374219e-05,2.47271702034457e-08,2.01634760360622e-12,0.500698250217737,0.50069825021572,0.50090938668063,0.500897259866227,-0.000199009648490289
