compassSystemErrorCrossCorrelation,compassFilterErrorCrossCorrelation,fullSystemErrorCrossCorrelation,gyroFilterErrorCrossCorrelation,gyroSystemErrorCrossCorrelation,errorAutoCorrelation
-2.80708241287941e-16,-8.77213254024815e-16,4.91239422253896e-16,2.10531180965956e-16,-2.10531180965956e-16,-1.75442650804963e-17
-0.000504702143676516,-0.000505159459118889,-0.000499845606262178,5.31385285708324e-06,-0.00099849853733834,5.2960049880476e-06
-0.00352900608666573,-0.00353220036930492,-0.00350417566693583,2.80247023674989e-05,-0.00699089142489111,2.77784771728886e-05
-0.0190506610721682,-0.0190678671783259,-0.0189367144649235,0.000131152713403923,-0.0377571087130472,0.000129513255907357
-0.0945435137034085,-0.0946287674757864,-0.0940193660341309,0.000609401441655654,-0.18741306983521,0.000600554113680013
-0.312694723909806,-0.312975705136715,-0.311625532026034,0.00135017311068083,-0.620473624979061,0.00131114788560428
-0.688618279129291,-0.689231147070262,-0.688805437687715,0.000425709382546601,-1.36865568359477,0.000299665234267278
-1.16341322408997,-1.16442752541714,-1.16871317517119,-0.00428564975404687,-2.31620504274084,-0.00458800436172386
-1.67397338276422,-1.67538041177511,-1.68876126432973,-0.0133808525546138,-3.33713705258942,-0.0139623216245453
-2.1755082140304,-2.17723425408563,-2.20365423811095,-0.0264199840253127,-4.3408428630401,-0.0273762329269744
-2.59850592656783,-2.60039142347706,-2.64275081365338,-0.042359390176315,-5.18720448971291,-0.0437609541241371
-2.92330195288878,-2.92515248846671,-2.98329725815413,-0.0581447696874204,-5.83375580620231,-0.0600167093712694
-3.10673961680214,-3.10831535468508,-3.1800360110198,-0.0717206563347152,-6.19305698848187,-0.0740338569888155
-3.14901431363124,-3.15008205945923,-3.23111880899439,-0.0810367495351547,-6.26442965461987,-0.0836990420671893
-3.03875798476823,-3.03909569230455,-3.12348725768163,-0.0843915653770811,-6.02508249994017,-0.0872510718123255
-2.80232940072348,-2.80177455445376,-2.88224129551795,-0.0804667410641853,-5.52801374682896,-0.0833180598741032
-2.44397212800493,-2.442414524041,-2.51207859005558,-0.0696640660145843,-4.7841080216067,-0.0722650528834301
-1.96806973284741,-1.96546042761432,-2.018840571245,-0.0533801436306852,-3.80527798937675,-0.0554670258994321
-1.42333554881246,-1.41973227648435,-1.45228466820001,-0.0325523917156625,-2.69075094673742,-0.0338583573515052
