signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals
compassSystem,39.9470621116129,0,19.7064589392073,11.7332186031542,137.668418789404,1.79252457097591,-0.00376409997363609,0,137.554830985122,-6.07260343742068,33916.951678348
compassFilter,39.9402925418164,0,19.6995428789476,11.7365587472769,137.746811228281,1.79228038921746,-0.00359888112552705,0,137.63315874377,-5.81101662053428,33950.9637844217
fullSystem,39.9622186666494,0,19.7106749311756,11.7371662897474,137.761072513182,1.79226381786396,-0.00350553441162146,0,137.647408261934,-5.66117125048438,33957.6802368793
gyroFilter,0.0272021665245745,-0.010930518689662,0.0111320522278879,0.0036664391196796,1.34427758183169e-05,8.89377569856472,-0.398960669552074,0,1.34316844191269e-05,-1.96392909059556e-08,1.60452737524887e-09
gyroSystem,40.9766705317887,0,20.2523148580361,12.0068094818158,144.163473932621,1.79133670927931,0.0026317220716013,0,144.04452717195,4.5497251993177,37168.133344654
input,40,0,19.7653021910038,11.7237603008905,137.446555592735,1.789019607829,-0.00107053595673424,0,137.333150843897,-1.72291691635075,33741.6152511412
error,0.237859807027639,-0.411223057662081,-0.0546272598282602,0.0810249962522426,0.00656505001767593,9.29888137249563,-1.00264171817934,0,0.00655963330974055,-0.000532678434490111,0.000400119605984765
