signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals
compassSystem,39.9466789338456,0,17.2728107411565,12.4690267264964,155.476627506081,1.71178519067609,0.190248465408006,0,155.311402609688,368.23594124144,41291.0520569531
compassFilter,39.9441818042074,0,17.2703856482278,12.4689264288123,155.474126287133,1.71177247822686,0.190269519561852,0,155.308904048783,368.267805765847,41289.4168988866
fullSystem,39.9462107325435,0,17.2729431784848,12.4689259581506,155.474114549842,1.71176998030455,0.190269754623178,0,155.308892323965,368.268219025659,41289.3504127048
gyroFilter,0.00341990604060527,0,0.00255753025695278,0.000287433325860742,8.26179168153674e-08,10.3006090676034,-1.06581508148417,0,8.25301188166264e-08,-2.52697279749735e-11,7.01597197661843e-14
gyroSystem,40.9766705317887,0,17.7703453594519,12.7481508973454,162.515351301489,1.713317187268,0.197169799019588,0,162.342646358554,407.839537364256,45154.7054713482
input,40,0,17.3406038796678,12.4491974939507,154.98251824339,1.70975149406096,0.194242700106565,0,154.817818436542,374.176166799666,40980.2759795785
error,0.224252790539759,-0.41062121437749,-0.0676607011830647,0.0939122147675257,0.00881950408254187,7.59331730128888,-1.14858692255522,0,0.00881013160211409,-0.000949811581626593,0.000589381282726342
