signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals
compassSystem,1.80651381719495,0,0.987588514554919,0.220809921734414,0.0487570215363581,10.6677184456362,-1.06368202057397,0,0.0486366338288609,-0.0114092496369868,0.0252347242752782
compassFilter,1.6665820486084,0,0.980976751899368,0.208354640479596,0.0434116562093819,12.6093400505496,-1.88499390384914,0,0.0433044669347908,-0.0169866991622996,0.0236460035726148
fullSystem,1.68002245289065,0.400200147390334,1.00497162690323,0.156604432911424,0.0245249484075088,8.80814434548887,0.140998163415316,0,0.0244643929793421,0.000539529408748243,0.00527173185376715
gyroFilter,1,-0.0248090918895789,0.02399487500386,0.117030977239984,0.0136962496337457,57.8053780557314,7.34176560789526,0,0.0136624317334154,0.0117244511795187,0.0107900698411584
gyroSystem,2.00387408140234,1,1.48766491326615,0.285499739845961,0.0815101014521113,1.9025065174426,0.171983733522379,0,0.081308841942353,0.0039874388507237,0.0125777136853033
input,1,1,1,0,0,NaN,NaN,0,0,0,0
error,0.680022452890648,-0.599799852609666,0.0049716269032278,0.156604432911424,0.0245249484075087,8.80814434548887,0.140998163415334,0,0.0244643929793421,0.000539529408748311,0.00527173185376715
