signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals
compassSystem,1.49984703021592,-1.25028876901595,0.0541537839433915,0.845590244164396,0.715022861026003,1.54624940043476,-0.0449937729896933,0,0.714486057076284,-0.0271733416994523,0.789345360128603
compassFilter,1.49997870576238,-1.25036747974889,0.0539389757109199,0.845365495097544,0.714642820301515,1.54688038612704,-0.0442903627224432,0,0.714106301667655,-0.0267272044210078,0.788828265363441
fullSystem,1.49613066719676,-1.25069857871088,0.0544196560635772,0.845048943899446,0.714107717585569,1.54563999877735,-0.0451798462731252,0,0.713571600680475,-0.0272333510799998,0.787015820677132
gyroFilter,0.0141986376098445,-0.013422018985225,0.000480680352657204,0.0080029350948742,6.40469701327692e-05,1.56359296694779,-0.0397183176939815,0,6.39988868218587e-05,-2.03352480988688e-08,6.40425400319409e-09
gyroSystem,1.97441321054913,-0.875123467125438,0.532926143963467,0.753375066427172,0.567573990714146,1.90802667266881,-0.0177849839036797,0,0.567147884114511,-0.00759622728577251,0.61372960588845
input,0.999993742857021,-0.999990206550703,0.0511367606213833,0.707929225520973,0.501163788346725,1.5105315827305,-0.110588483235052,0,0.500787539256375,-0.0391913454079264,0.378823435461016
error,0.545928429056381,-0.375466637133933,0.00328289544219392,0.172074831070613,0.0296097474879799,2.82275365452584,0.240702782746551,0,0.0295875179478237,0.00122502206915208,0.00247109844324189
