signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationSignals_1,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,107.347718404966,-145.564621384492,-39.9957692391102,37185.449733937,2542.44179245767,4.49034310237695,1.15869737979241,0,2541.51287693247,148459.671951798,29004417.9861895,64.3519574990585,0.000985135740056201,204740.324054068,-9622.55230017442,37185.449733937,1382757671.91515,10.8427481101827,0.00157929089906884,38407.0115202073
compassFilter,94.1617540813826,-101.375835295296,-38.328898613427,28247.5691401484,2031.89652743322,4.60279017095063,1.40387746457989,0,2031.15414653171,128511.954382173,18989212.0615432,59.162983490102,0.00111674746802505,121500.535132279,-9221.52113916908,28247.5691401484,797925162.327466,8.0404018316054,0.00146649646420177,29712.2167034742
fullSystem,104.849588410729,-115.312241421581,-40.0479258621203,31433.0897849975,2320.74344593198,4.61223412187717,1.29947385909933,0,2319.89553089875,145201.194738734,24822653.2691047,62.6396990474622,0.000982921041901838,111221.392522018,-9635.10062321621,31433.0897849975,988039133.431711,7.29410896870587,0.00158018919497237,32873.9070956833
gyroFilter,48.3674500867678,-109.249172344489,-1.71902724869337,31433.0897849975,436.67730292378,11.0561378066053,-2.32849172696881,0,436.517756959979,-21236.2373974101,2106722.20641387,20.9636068376062,0.00331385965699214,111221.392522018,-9635.10062321621,31433.0897849975,988039133.431711,7.29410896870587,0.00158018919497237,32873.9070956833
gyroSystem,102.995712926609,-102.698073637534,-39.4378648506447,16385.1505073734,2267.33613029131,4.69546401094045,1.32956908632569,0,2266.50772834382,143465.248593808,24120867.5927863,61.821136452847,0.0009814974526191,46714.5597935694,-413.579484047069,16385.1505073734,268473157.149277,15.1673135693473,0.00129066752287875,16388.8727808384
input,102.741946702956,-103.32260598023,-40.2236988275015,31136.3667602104,2289.94882926965,4.68246957261519,1.33516283199668,0,2289.11216546648,146229.449210593,24536302.1342044,62.506464568331,0.000971459034723093,135061.573566269,-9488.32649933004,31136.3667602104,969473335.026333,8.15580708685305,0.00159228389621072,32547.2662034957
error,17.3869609885436,-15.0275213283655,0.175772965381161,5722.99239997023,17.6884546898309,7.31396721952508,0.771028585991466,0,17.6819919734664,57.3280623965346,2286.73262394653,4.20866821082694,0.0074880768330119,48480.1747538547,42.2890866837747,5722.99239997023,32752642.010117,22.5478577746849,0.00228981185397864,5722.62579356427
