signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationCorrelationSignals,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,120.8112641392,-162.639591794112,-23.7387491246013,42.66995629654,1820.72517034864,3.68551579697576,0.37341354446091,0,1820.60297402848,29007.6761629057,12215992.9297917,48.8275658212575,0.000306432863380106,1106806.31046486,23342.4384218747,68606.4358852916,4706843044.88262,44.6500248568062,0.000210088381071444,72467.6101669431
compassFilter,119.8632584108,-160.148953655663,-23.7482213215014,42.5749971232267,1812.63038004276,3.65469035273743,0.377802476209102,0,1812.50872699712,29153.1145812107,12006344.4718501,48.7492229982401,0.000305131038237785,1082259.38207722,23351.7524835256,67459.2666453323,4550752656.32604,43.4560499579164,0.000209440701554411,71385.6027881851
fullSystem,122.534842622144,-161.669522778428,-23.6727338495907,42.6386616183684,1818.05546460572,3.62606574944449,0.369319231856818,0,1817.93344746045,28626.5422690451,11983719.4964847,48.7681430379916,0.000307538314528047,1036931.28329901,23277.5252504289,66260.2966310536,4390426909.63521,39.4678427604171,0.000211464900055287,70229.0734433637
gyroFilter,47.8445356424004,-50.8998226868581,0.0754874719105592,2.71819794766017,7.38860008266398,90.8592627435267,-0.0700584476247959,0,7.3881042034638,-1.40688962883928,4959.46960444276,2.71915475136656,0.000663685048923452,1036931.28329901,23277.5252504289,66260.2966310536,4390426909.63521,39.4678427604171,0.000211464900055287,70229.0734433637
gyroSystem,103.924012226682,-102.587576743738,-21.2043673682321,40.6144395907637,1649.5327032718,3.45834554507903,0.498404231133357,0,1649.42199637896,33387.1534701838,9408750.41225209,45.8153597810375,0.000325345668317587,62967.8682467012,-74.2272330966728,4444.94658460142,19757550.1399598,53.9298936969554,0.000365433738484355,4445.49173824512
input,102.485334894037,-102.916657188907,-23.5407509867549,41.7135546856559,1740.0206445132,3.25253042926321,0.476746260380014,0,1739.90386460418,34599.9263407831,9846273.01981237,47.8964593850586,0.000313849433694489,434593.504760871,20850.367345381,49660.346052311,2466149970.03528,8.12666936634365,0.000213075059715534,53859.1220591742
compassSystemError,78.2290117533446,-63.6355736536539,-0.197998137846423,8.14642937936958,66.3643116330559,20.5131542954958,-0.0498303277238916,0,66.3598576524094,-26.9371665864633,90332.3561663677,8.14856189244456,0.000716428332210431,871806.345946754,194.692623274591,44568.1721027345,1986321964.57896,99.0357550415316,0.000448245334688332,44567.8495382066
compassFilterError,77.4476863302793,-61.8224285830613,-0.207470334746412,8.20685738988846,67.3525082179668,20.9805018665353,0.328001933606835,0,67.3479879154019,181.285614018233,95162.3423136686,8.20920409389375,0.000697536961850626,864825.037769844,204.006684925327,44453.9959833367,1976157758.88652,98.1910820728897,0.000442572534405064,44453.7181951061
fullSystemError,64.5952934733476,-60.2238618508561,-0.131982862835855,7.40307008031477,54.8054466140518,20.313911988315,-0.266088455443738,0,54.8017683961582,-107.948818167309,61007.427486529,7.40399810050222,0.000662314575810508,816805.899296386,129.779451828654,42238.9211045079,1784126456.07284,97.2203103099721,0.00045213287857819,42238.4117451701
gyroSystemError,6.72584526891373,0,2.33638361852284,2.13028198025596,4.53810131540327,1.81302243795118,0.450465897651321,0,4.53779674484519,4.35441159066307,37.3330315597173,3.16172186596909,0.000233786131623662,3283.00565491413,-2297.37845321965,2789.86406515104,7783341.50202106,3.26388540638502,0.000200825512423818,3614.00443616465
gyroFilterError,101.096318179613,-100.565698749605,23.6162384586655,41.5865013968353,1729.43709842899,3.26693877948625,-0.484939049175725,0,1729.32102882507,-34873.9058309348,9769947.7550643,47.8230880199264,0.000311336679062649,161627.53776751,-23221.9730316968,51037.0559467311,2604781079.70976,7.42347921739725,0.000211225219181009,56070.9702029512
