signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals,standardDeviationCorrelationSignals,varCorrelationSignals,kurtosisCorrelationSignals,powerCorrelationSignals,rmsCorrelationSignals
compassSystem,120.279619512469,-162.197984921176,-22.6016152512915,41.8608050274294,1752.32699754446,3.52923452390006,0.371680773435934,0,1752.21502776826,27261.5909610353,10835658.7787457,47.5715044930855,0.00035816095657059,790751.126256171,6997.89364886783,63079.1931997729,3978984614.73427,25.4629896362498,0.000331551127935647,63465.1715674389
compassFilter,119.541063922048,-160.296305768227,-22.6244468606217,41.7830524784216,1745.82347441453,3.51340685384468,0.375615673186717,0,1745.71192019891,27396.9723699073,10707142.9017485,47.5139717972306,0.000355856408618905,774666.911041172,7004.96275309562,62198.6969693772,3868677904.68841,24.2162031135721,0.000332142393977383,62590.9242940109
fullSystem,122.332192248842,-161.272233505588,-22.5554307079276,41.8339893128149,1750.08266182471,3.47701238434177,0.365741992118837,0,1749.97083545654,26774.4798454798,10647995.5108283,47.5259748966464,0.00035981746253013,728494.224667208,6983.59402828386,61229.1189432639,3749005006.56836,23.069097091844,0.000332609994327302,61625.1232191513
gyroFilter,49.7893490570334,-51.0176712121652,0.0690161526941904,2.58365092433725,6.67525209882871,100.579287669926,-0.192596814213021,0,6.67482556514827,-3.32130668849991,4481.13880773142,2.58449004534376,0.000408527737114551,728494.224667208,6983.59402828386,61229.1189432639,3749005006.56836,23.069097091844,0.000332609994327302,61625.1232191513
gyroSystem,105.358358991655,-102.196997546242,-20.1921054055534,40.1816043474768,1614.56132793717,3.40776871941389,0.460119554146871,0,1614.45816107915,29847.7007822091,8882264.49730501,44.9686477647275,0.000385917094559458,57430.0513005626,-21.3687248118415,4094.44163069799,16764452.2671928,67.1336788937737,0.000332915601029812,4094.43198343513
input,103.651866481291,-102.64351884005,-22.5158640253684,41.324236222622,1707.69249938307,3.19958267674985,0.432919747663139,0,1707.58338165148,30547.8237334204,9329474.36869009,47.0589791055899,0.000361726086495704,218385.509023519,6251.86317896988,48712.8924427625,2372945890.14015,9.1553401095722,0.000338132990554152,49111.6673302664
compassSystemError,78.0990751366858,-62.8399415283189,-0.0857512259230868,7.69533860783964,59.2182362893074,22.9916142926164,0.549743881698272,0,59.2144523764454,250.496683586392,80616.6782789987,7.69557052135791,0.00060341291023723,815824.722891702,26.5502245126268,39830.4263440644,1586462862.74994,101.908782995709,0.000348276507700196,39829.798898946
compassFilterError,76.3236522289774,-61.9366555279524,-0.108582835253402,7.7855573667215,60.6149035105115,24.0790377901663,0.786360014117798,0,60.6110303537376,371.064085592526,88459.0889056644,7.78606579639867,0.000597969928752828,813408.19158564,33.6193287403398,39696.5843160155,1575818806.35853,102.176835517594,0.000348312375967497,39695.964396403
fullSystemError,65.6445810515146,-59.780993589815,-0.0395666825592112,6.98638704384532,48.8096039264097,22.4510311904019,0.348552549682387,0,48.8064851018777,118.845998081507,53479.9949513976,6.98627587662028,0.000618298391267105,763845.992269456,12.2506039284978,37754.6603001123,1425414374.37688,99.5385750557875,0.000349823689576728,37754.0591540012
gyroSystemError,6.7258452689136,0,2.32375861981499,2.13512622596105,4.55876400078666,1.81602451910891,0.461452823257134,0,4.55847270596232,4.49113743845157,37.7363964134577,3.15568167423883,0.000225833941696603,5376.53545858156,-719.480245385382,1469.49006951471,2159401.06440234,11.3226770389922,0.00012307649694883,1636.14910544502
gyroFilterError,101.585591334736,-100.950343425488,22.5848801780626,41.2104751791049,1698.30326448762,3.21477452604025,-0.442890327216505,0,1698.19474670715,-30993.9861727978,9270977.01719554,46.9922499925741,0.000357711111373618,259750.578740994,-6992.71214916699,49143.700892867,2415103337.44758,8.93915089341231,0.00033130786297577,49637.931044035
