compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorFullSystemErrorCrossCorrelation,compassFilterErrorFullSystemErrorCrossCorrelation,fullSystemErrorFullSystemErrorCrossCorrelation,gyroSystemErrorFullSystemErrorCrossCorrelation,gyroFilterErrorFullSystemErrorCrossCorrelation
-0.00421093665950355,-0.00416287003705899,-0.00405261023265738,0.000110259822880228,-0.00355294904124642,-0.0001046813533379,-5.66147315862869e-05,5.36450896770619e-05,0.000553306268845936,0.00421651512650507
-0.00474095756986311,-0.00468767658319502,-0.0045684396717993,0.000119236902156401,-0.00400587308797098,-0.000112096834368819,-5.88158459683496e-05,6.04210591908278e-05,0.000622987666810375,0.00474809765047024
-0.0052958314883567,-0.0052373069560244,-0.00510301609479246,0.000134290911124221,-0.00447458664457949,-0.000125282932934906,-6.67584161939365e-05,6.75324943528274e-05,0.000695961913729589,0.00530483947682475
-0.00586874818518048,-0.00580515423493962,-0.00566004361543391,0.00014511063613648,-0.00496359182787793,-0.000133800674539377,-7.02067082452159e-05,7.49039275447897e-05,0.000771355698816478,0.00588005815174371
-0.00646438321009988,-0.00639591801408974,-0.00623705286148285,0.00015886517847696,-0.00546984588136039,-0.000144743950393546,-7.62787669719685e-05,8.25864110430259e-05,0.000849793382388141,0.00647850442559473
-0.00708664434089784,-0.00701341171941114,-0.00683798014910685,0.00017543158508719,-0.00599682614177702,-0.000158038184934643,-8.4805568414075e-05,9.06260148252523e-05,0.00093178002215508,0.0071040377434757
-0.00775309944052308,-0.00767527325522332,-0.00748368985359631,0.000191583410866322,-0.00656327722771537,-0.000170164660847236,-9.23384897529133e-05,9.92449245781505e-05,0.00101965755346187,0.00777451817448887
-0.00845638990017866,-0.00837423370057155,-0.0081705452268204,0.000203688495925495,-0.00716643893559064,-0.000177492879932591,-9.53366721255912e-05,0.000108351821259093,0.00111245809562711,0.00848258552067573
-0.00920747075643804,-0.00912107862088652,-0.00890167308084312,0.000219405554826297,-0.00780813724157356,-0.000187725907063208,-0.000101333763080812,0.000118071789897624,0.00121160762269966,0.00923915041817559
-0.00997725022690637,-0.00988734433693545,-0.00964753050357103,0.000239813855538766,-0.00846226328599548,-0.00020167486351085,-0.000111768981220112,0.000128044873856688,0.00131331207433952,0.0100153892315806
-0.0107992441792573,-0.0107064029970576,-0.0104504070422124,0.000255995984410956,-0.00916709234967591,-0.000210160029093949,-0.000117318854401154,0.00013867712989431,0.00142199180868735,0.0108450801363067
-0.0116406898088162,-0.0115455804717919,-0.0112675336293048,0.000278046872052881,-0.00988378752732561,-0.000223596902056699,-0.000128487581461077,0.000149559290360822,0.00153330538240779,0.0116951397901017
-0.0125256562383757,-0.0124287400690336,-0.012129824882048,0.000298915233182174,-0.0106403863072277,-0.000234827870631956,-0.00013791171589955,0.000161003516358693,0.00165044207732001,0.0125897436047949
-0.0134264875262503,-0.0133287850102144,-0.013011145087639,0.000317639939206105,-0.0114140159760912,-0.000242682424031377,-0.000144979912817242,0.000172660027428286,0.00176978914255631,0.0135014450458425
-0.0143543886139043,-0.0142568621621837,-0.0139223137013023,0.000334548495990771,-0.0122141591347163,-0.000247410194384025,-0.000149883758572359,0.000184664739035292,0.00189281929291726,0.0144415269236243
-0.0153469700100166,-0.0152503915633711,-0.0148930114634808,0.000357380125760323,-0.0130659874218206,-0.000256479803947658,-0.000159901350603572,0.00019747877758207,0.00202450279371872,0.0154478703403757
-0.0163936931713824,-0.0162989479667019,-0.0159174815293342,0.000381466463237764,-0.0139650041533131,-0.000265204092260868,-0.00017045888613673,0.000211007575715138,0.00216348494388281,0.016509955556738
-0.0174725219267347,-0.0173805868918342,-0.0169748308521415,0.000405756063714978,-0.0148929498927106,-0.000272722663390192,-0.000180787630453114,0.000224968433261864,0.00230684937883375,0.0176055553324875
-0.0185896651893263,-0.0185014687419411,-0.0180664269682316,0.000435041781100962,-0.0158504530092672,-0.000283810601450525,-0.0001956141435556,0.000239427636621431,0.00245540160759692,0.018740896372095
-0.0197456468724542,-0.019662146759589,-0.0191993263387491,0.000462820452253615,-0.0168445127173549,-0.00029192124589278,-0.000208421128003725,0.000254399321593588,0.00260921291607831,0.0199165460801432
-0.020944134635289,-0.0208663285103819,-0.0203770709460572,0.000489257571716157,-0.0178782196774606,-0.000297131987786593,-0.000219325873158163,0.000269931704448056,0.00276878297454604,0.0211362602218749
-0.0221624406616366,-0.0220914922492017,-0.0215831891456175,0.000508303120214906,-0.018937808653665,-0.000293507945903074,-0.000222559523073927,0.000285743595755083,0.00293112407615852,0.0223772358518863
-0.0234774412912509,-0.0234139779922626,-0.0228787824984581,0.000535195527066078,-0.0200751987507655,-0.000295878045728877,-0.000232414732361952,0.000302780794473143,0.00310636452761375,0.0237167587962061
-0.0248619915976647,-0.0248067874298801,-0.0242434054435719,0.000563381993699641,-0.0212731864155521,-0.000297900167107213,-0.000242695984770618,0.000320686011007869,0.00329090503510088,0.0251274734425048
