compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorFullSystemErrorCrossCorrelation,compassFilterErrorFullSystemErrorCrossCorrelation,fullSystemErrorFullSystemErrorCrossCorrelation,gyroSystemErrorFullSystemErrorCrossCorrelation,gyroFilterErrorFullSystemErrorCrossCorrelation
-5.32184328351702e-12,-1.41915820893787e-11,-1.77394776117234e-12,0,-2.66092164175851e-12,-3.54789552234468e-12,3.54789552234468e-12,5.32184328351702e-12,2.21743470146543e-13,5.32184328351702e-12
0.00103605284222535,0.00104146214113349,0.00101780911818856,-2.36530193970317e-05,0.0008862649161546,9.80340653941745e-06,1.52127036736125e-05,-8.44031749736695e-06,-0.000139984529953273,-0.00104990245508296
0.002318948234121,0.00233166208934216,0.00228236900021633,-4.92930775951771e-05,0.00198765050797235,1.79095850104377e-05,3.06234224921181e-05,-1.86696577639807e-05,-0.000313388154664565,-0.0023503317382364
0.00465657997344221,0.00468492845339435,0.0045852878618808,-9.96405826438041e-05,0.00399333923434218,3.36564083894094e-05,6.20048936633837e-05,-3.76356889804204e-05,-0.000629584329158423,-0.00472256413350503
0.00800436920353344,0.00805657672030585,0.00787096778729132,-0.000185608938336372,0.00685218873123328,6.96245616390592e-05,0.000121832094376995,-6.37768386375336e-05,-0.00108255589469558,-0.00812035356426523
0.0114788652779091,0.0115605374514347,0.0112833391378323,-0.000277198309610997,0.00981886772261489,0.000106887448401678,0.000188559634344918,-8.86386810314088e-05,-0.00155311011021868,-0.0116491761289182
0.0162264869965258,0.0163496795802244,0.0159726304081934,-0.000377049175578923,0.0138969456377838,0.000133435126571428,0.000256627686321735,-0.00012042149513339,-0.00219610626232766,-0.0164701010765774
0.0209538031404927,0.0211229856879938,0.0206291923991271,-0.000493793277779505,0.0179377229236776,0.000179500398891313,0.000348682936635755,-0.000145110342224749,-0.00283657982435432,-0.0212680960393378
0.0263172546827367,0.0265411455929279,0.0259333192202307,-0.000607826366710166,0.0225381955176237,0.000215932558335009,0.000439823458547748,-0.000168002907774367,-0.00356312660323012,-0.0267091484979859
0.0327548763936474,0.0330424636203263,0.0323314592206762,-0.000711004390336928,0.0280889688769267,0.000231364961890947,0.000518952194446077,-0.000192052194338647,-0.00443454255505155,-0.0332345158243108
