time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input,compassSystemError,compassFilterError,fullSystemError,gyroSystemError,gyroFilterError
0,0,0,0.0639206297744541,0.0639206297744541,0.0639206297744541,0.0639206297744541,-0.0639206297744541,-0.0639206297744541,0,0,0
1.82477035643356e-05,6.18586786872711e-10,7.04712015226823e-17,0.97587383205003,0.97587383205003,0.975875254747782,0.975872764021078,-0.975872763402491,-0.975872764021078,1.06802895250002e-06,2.49072670388539e-06,1.068028952389e-06
3.19508150714216e-05,4.04999127484822e-09,1.63528574331247e-15,1.89746809319991,1.89746809319991,1.89747101673103,1.89746665559331,-1.89746665154332,-1.89746665559331,1.43760659909731e-06,4.36113771939972e-06,1.437606597543e-06
4.56539265785077e-05,8.9762542029278e-09,6.38105665877785e-15,2.87350615195288,2.87350615195287,2.87350918143601,2.87350294988728,-2.87350294091102,-2.87350294988727,3.20206560333602e-06,6.23154873524712e-06,3.20206559711878e-06
5.90261784713469e-05,1.42139606345249e-08,1.4562611615811e-14,0.716803442269043,0.716803442269028,0.716807494236398,0.716799437437446,-0.716799423223485,-0.716799437437431,4.00483159679332e-06,8.05679895155009e-06,4.0048315822494e-06
7.10655556166763e-05,2.03110185702267e-08,2.56209834582511e-14,-0.212403359000197,-0.212403359000223,-0.212398948213307,-0.212408648331268,0.212408668642287,0.212408648331294,5.28933107127316e-06,9.7001179614753e-06,5.28933104565477e-06
8.2505188439224e-05,2.65172257718097e-08,3.98912871950777e-14,1.2377289681561,1.23772896815606,1.23773374729639,1.23772248572173,-1.23772245920451,-1.23772248572169,6.4824343726233e-06,1.12615746594713e-05,6.48243433265527e-06
9.44463484392369e-05,3.41275654880148e-08,5.91338163371796e-14,0.633256854833282,0.633256854833223,0.633262543491664,0.633249652004178,-0.633249617876612,-0.633249652004119,7.20282910404713e-06,1.28914874856223e-05,7.20282904487224e-06
0.00010408244936414,4.05250563504926e-08,7.83253149802604e-14,1.98877897102326,1.98877897102318,1.98878483480256,1.9887706280321,-1.98877058750704,-1.98877062803202,8.34299115992643e-06,1.42067704640425e-05,8.34299108154468e-06
0.000114518441310813,4.77128860675073e-08,1.02886670314882e-13,0.71848701424425,0.718487014244147,0.718493165679546,0.718477534444698,-0.718477486731811,-0.718477534444595,9.47979955279177e-06,1.56312348483789e-05,9.47979944987409e-06
0.000121818511853287,5.30905774566954e-08,1.22513088096133e-13,-1.13282249220083,-1.13282249220095,-1.13281606463359,-1.13283269229413,1.13283274538471,1.13283269229425,1.02000933006607e-05,1.66276605397808e-05,1.02000931780921e-05
0.000129118582395761,5.86430227278363e-08,1.44280560026186e-13,1.68177184033698,1.68177184033684,1.68177808435533,1.6817604602691,-1.68176040162608,-1.68176046026896,1.13800678804843e-05,1.76240862312937e-05,1.13800677361553e-05
0.000135098438588774,6.3057367168287e-08,1.63696737223472e-13,-1.33872022529336,-1.33872022529352,-1.33871375506146,-1.33873219537026,1.33873225842762,1.33873219537042,1.19700769012354e-05,1.84403088014928e-05,1.19700767375885e-05
0.000140561979609837,6.73390061047743e-08,1.82698509432511e-13,0.800204235104524,0.800204235104341,0.800211121754817,0.800191935698066,-0.80019186835906,-0.800191935697883,1.22994064580828e-05,1.91860567511082e-05,1.22994062753401e-05
0.000144902073857006,7.08141010762638e-08,1.98700798613151e-13,0.439102797231877,0.439102797231678,0.43910944531326,0.439089666853821,-0.43908959603972,-0.439089666853622,1.31303780557257e-05,1.97784594390127e-05,1.31303778570513e-05
0.000149242168104174,7.42418746483464e-08,2.15499007427013e-13,2.66316089104816,2.66316089104795,2.66316767495305,2.66314730409093,-2.66314722984905,-2.66314730409071,1.35869572366332e-05,2.03708621269172e-05,1.35869570212499e-05
0.000159350081825128,8.27980281401429e-08,2.57790206342716e-13,0.916996182062519,0.916996182062261,0.91700427276445,0.916982522219091,-0.916982439421063,-0.916982522218834,1.36598434271606e-05,2.17505453585787e-05,1.36598431693669e-05
0.000167409754780925,9.05058842395266e-08,2.95062386229241e-13,-0.406710254769765,-0.40671025477006,-0.406702103080484,-0.406724953733732,0.406725044239616,0.406724953734027,1.46989639672745e-05,2.28506532480299e-05,1.46989636722328e-05
0.000175469427736722,9.84297483212074e-08,3.35680501735016e-13,2.05985012776693,2.05985012776659,2.05985856544325,2.05983461468211,-2.05983451625237,-2.05983461468178,1.55130848162877e-05,2.39507611374812e-05,1.55130844805562e-05
0.000182257321160839,1.05294443173635e-07,3.72569665018638e-13,2.1126031843269,2.11260318432653,2.11261212272751,2.11258724545048,-2.11258714015604,-2.11258724545011,1.59388764231494e-05,2.4877277033486e-05,1.59388760505585e-05
0.000188265687108411,1.11606188175904e-07,4.07340246737956e-13,2.36481278305751,2.36481278305711,2.36482188735093,2.36479618995988,-2.36479607835369,-2.36479618995947,1.65930976359085e-05,2.56973910524039e-05,1.65930972286787e-05
0.000196820683645983,1.20887361499445e-07,4.60401519002573e-13,1.69359849377929,1.69359849377883,1.69360788106731,1.693581015959,-1.69358089507164,-1.69358101595854,1.74778202914894e-05,2.68651083081828e-05,1.74778198311909e-05
0.000205335502478466,1.30675459330304e-07,5.17524048350469e-13,-0.416860530023715,-0.416860530024233,-0.416850313196247,-0.416878340537741,0.416878471213201,0.416878340538259,1.7810514026162e-05,2.80273414938192e-05,1.78105135086315e-05
0.000213850321310948,1.41119608058763e-07,5.79258207435749e-13,1.642965957803,1.64296595780242,1.64297676057652,1.64294757100184,-1.64294742988223,-1.64294757100126,1.83868011602861e-05,2.91895746795667e-05,1.83868005809718e-05
0.000223982208556686,1.53955922874119e-07,6.59033545010824e-13,-0.933434649330285,-0.933434649330944,-0.933423586599826,-0.933454159130012,0.933454313085935,0.933454159130671,1.95097997265359e-05,3.05725301859017e-05,1.95097990675075e-05
0.000232784374238256,1.65696216885621e-07,7.34075025997436e-13,-0.755007155584917,-0.755007155585651,-0.754995187558469,-0.755026961543349,0.755027127239566,0.755026961544083,1.98059584324284e-05,3.17739848806342e-05,1.98059576983489e-05
0.000241147140722024,1.77783685203377e-07,8.10693749523941e-13,1.30854478696345,1.30854478696264,1.30855738651567,1.30852447105204,-1.30852429326835,-1.30852447105123,2.03159114149365e-05,3.2915463627603e-05,2.03159106042516e-05
0.000248592118953146,1.89044325501396e-07,8.83557832720537e-13,2.18233442003695,2.18233442003607,2.18234726558566,2.18231333391712,-2.18231314487279,-2.18231333391623,2.1086119835978e-05,3.39316685447066e-05,2.10861189522404e-05
0.00025471133846133,1.98540301215402e-07,9.46823846379131e-13,0.649801991356501,0.649801991355554,0.64981575898473,0.64978099207117,-0.649780793530869,-0.649780992070223,2.09992853310581e-05,3.47669135597473e-05,2.09992843842599e-05
0.000262248562404934,2.1097903305982e-07,1.02917135059447e-12,1.44105421883381,1.44105421883278,1.44106844051142,1.44103264480183,-1.4410324338228,-1.4410326448008,2.15740319773339e-05,3.57957095877826e-05,2.15740309481571e-05
0.00027073012068801,2.25110309672335e-07,1.12785543496455e-12,2.41004202357418,2.41004202357305,2.41005659061412,2.41001963721126,-2.41001941210095,-2.41001963721013,2.23863629229548e-05,3.6953402863027e-05,2.23863617949682e-05
0.000281561030026874,2.44162780992692e-07,1.26344567511564e-12,0.67297250137181,0.672972501370547,0.672987599963173,0.672949168191537,-0.672948924028756,-0.672949168190274,2.33331802733661e-05,3.84317716355387e-05,2.33331790099323e-05
0.000292391939365737,2.63669270200009e-07,1.4101475117538e-12,-0.695251778935481,-0.695251778936891,-0.695235617739799,-0.695275527880207,0.695275791549477,0.695275527881617,2.37489447251216e-05,3.99101404079394e-05,2.37489433150273e-05
0.000302792893277063,2.83688382136032e-07,1.56202077651512e-12,2.15179565794661,2.15179565794505,2.1518125557208,2.15177122589853,-2.15177094221015,-2.15177122589697,2.44320480784488e-05,4.13298222632363e-05,2.4432046516587e-05
0.000309878869411143,2.98027825305749e-07,1.67198645597032e-12,1.02143288281974,1.02143288281807,1.02145068715079,1.02140839012572,-1.0214080920979,-1.02140839012405,2.44926940193846e-05,4.22970250633092e-05,2.44926923473887e-05
0.000316964845545224,3.13190187465161e-07,1.78752339820146e-12,0.925751449431464,0.925751449429677,0.925770388463484,0.92572712423562,-0.925726811045433,-0.925727124233833,2.43251958439439e-05,4.32642278632711e-05,2.43251940563738e-05
0.000323020706732745,3.26516865121527e-07,1.89090065513508e-12,-0.0500501796550502,-0.0500501796569411,-0.0500314989788674,-0.0500755898036294,0.0500759163204945,0.0500755898055203,2.5410148579208e-05,4.4090824761929e-05,2.54101466883039e-05
0.000330951971354009,3.44156800703914e-07,2.03281690945223e-12,1.62893327214753,1.6289332721455,1.628952495983,1.62890732257749,-1.62890697842069,-1.62890732257546,2.59495700432044e-05,4.517340551069e-05,2.59495680103861e-05
0.000340667501436413,3.66525549719231e-07,2.21701455775958e-12,1.61539100975471,1.61539100975249,1.61541095883814,1.61536445930794,-1.61536409278239,-1.61536445930572,2.65504467669153e-05,4.64995301998616e-05,2.65504445497999e-05
0.000352900923965134,3.96136677504151e-07,2.46586934814222e-12,0.169958752618303,0.169958752615837,0.16997973383868,0.169931564503178,-0.1699311683665,-0.169931564500712,2.71881151246156e-05,4.81693355025015e-05,2.71881126587548e-05
0.000365134346493854,4.26670168184093e-07,2.73441621136367e-12,0.28695804993082,0.286958049928086,0.28697933903296,0.286929499892155,-0.286929073221987,-0.286929499889421,2.85500386649207e-05,4.98391408051413e-05,2.85500359304969e-05
0.000375021137912931,4.51279762497366e-07,2.96603773401208e-12,1.72928868205652,1.72928868205356,1.72930989369393,1.72925870505206,-1.7292582537723,-1.7292587050491,2.99770044593917e-05,5.1188641870592e-05,2.99770014933198e-05
0.000387836949864942,4.82974396118187e-07,3.28556255811817e-12,0.242139682592878,0.242139682589592,0.242160425604679,0.242107487664057,-0.242107004689661,-0.242107487660772,3.21949288206447e-05,5.29379406219999e-05,3.21949255350784e-05
0.000399858151460769,5.12366178982747e-07,3.60478340964487e-12,1.80674543863721,1.8067454386336,1.80676669098574,1.80671211220698,-1.8067115998408,-1.80671211220338,3.332643022258e-05,5.4578778753811e-05,3.33264266176858e-05
0.0004111695958878,5.41304522616415e-07,3.92273627287444e-12,1.56838147133131,1.56838147132739,1.56840373740188,1.56834761466355,-1.56834707335903,-1.56834761465963,3.38566677593466e-05,5.61227383317764e-05,3.38566638367066e-05
0.000421076996522885,5.67671565531179e-07,4.21585380613795e-12,0.065576982666439,0.0655769826622232,0.0656001892412987,0.0655427141888392,-0.0655421465172736,-0.0655427141846233,3.42684775998664e-05,5.74750524594964e-05,3.42684733840165e-05
0.00043098439715797,5.9486911674862e-07,4.52313622001441e-12,-0.14370872002154,-0.143708720026063,-0.143684643091338,-0.143743470457925,0.143744065327042,0.143743470462448,3.47504363847617e-05,5.88273665871886e-05,3.47504318616298e-05
0.000438529018494705,6.16356691242763e-07,4.76695029146101e-12,1.37921543137632,1.37921543137155,1.37924017114501,1.37918031397269,-1.379179697616,-1.37918031396792,3.51174036321567e-05,5.98571723251506e-05,3.51173988653031e-05
0.000446073639831439,6.38264563719742e-07,5.01952701588155e-12,1.33224875003078,1.33224875002576,1.33227337784772,1.33221249086965,-1.33221185260509,-1.33221249086463,3.62591611273722e-05,6.08869780629462e-05,3.62591561078318e-05
