signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals
compassSystem,1.80651381719495,0,0.987588514554919,0.220809921734414,0.0487570215363581,10.6677184456362,-1.06368202057397,0,0.0486366338288609,-0.0114092496369868,0.0252347242752782
compassFilter,1.57076904556251,0,0.978267449949852,0.198351250191869,0.0393432184526775,14.5646419184514,-2.44052535277181,0,0.0392460747034116,-0.0189748199162687,0.0224332535025757
fullSystem,1.57076904556251,0,0.978267449949852,0.198351250191869,0.0393432184526775,14.5646419184514,-2.44052535277181,0,0.0392460747034116,-0.0189748199162687,0.0224332535025757
gyroFilter,0,0,0,0,0,NaN,NaN,0,0,0,0
gyroSystem,2.00387408140234,1,1.48766491326615,0.285499739845961,0.0815101014521113,1.9025065174426,0.171983733522379,0,0.081308841942353,0.0039874388507237,0.0125777136853033
input,1,1,1,0,0,NaN,NaN,0,0,0,0
error,0.570769045562507,-1,-0.0217325500501475,0.198351250191869,0.0393432184526775,14.5646419184514,-2.44052535277182,0,0.0392460747034116,-0.0189748199162688,0.0224332535025757
