time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input,error
0,0,0,0,0,1,1,-1
0.000200950914520766,1.26188648701347e-07,2.24042518916408e-11,2.24042518916408e-11,0,1.00002742886562,1,-0.999999999977596
0.0012057054871246,4.54228090332388e-06,4.83569086507553e-09,4.83569086507553e-09,0,1.00016457319373,1,-0.999999995164309
0.00622947835014376,0.000121183657391246,6.64444965729215e-07,6.64444965729215e-07,0,1.00085029483426,1,-0.999999335555034
0.0313483426652396,0.003058761790548,8.3086438506666e-05,8.3086438506666e-05,0,1.00427890303693,1,-0.999916913561493
0.1,0.0307453846895733,0.00255780536276074,0.00255780536276074,0,1.01364953510501,1,-0.997442194637239
0.2,0.119753110088275,0.0188736917645578,0.0188736917645578,0,1.02191792593133,1,-0.981126308235442
0.3,0.259670188249958,0.0584789476972621,0.0584789476972621,0,1.02466872747811,1,-0.941521052302738
0.4,0.440271629945149,0.126611340523854,0.126611340523854,0,1.03018479650579,1,-0.873388659476146
0.5,0.649179800229509,0.224631022487802,0.224631022487802,0,1.02521967115416,1,-0.775368977512198
0.6,0.872691887288112,0.350521234579335,0.350521234579335,0,1.04418109596163,1,-0.649478765420665
0.7,1.09666127850956,0.499472732751492,0.499472732751492,0,1.04677169374144,1,-0.500527267248508
0.8,1.30737718005797,0.664538221770831,0.664538221770831,0,1.06674241157839,1,-0.335461778229169
0.9,1.49238874850348,0.837333483055098,0.837333483055098,0,1.07138309686656,1,-0.162666516944902
1,1.64122515771098,1.00875536730874,1.00875536730874,0,1.08209982975347,1,0.00875536730874038
1.1,1.7459709803238,1.1696833752066,1.1696833752066,0,1.06963811436007,1,0.169683375206605
1.2,1.80166644244784,1.31163104011238,1.31163104011238,0,1.06462646090324,1,0.311631040112378
1.3,1.80651381719495,1.42731550661036,1.42731550661036,0,1.07908628210762,1,0.427315506610362
1.4,1.76188369160354,1.51111820483014,1.51111820483014,0,1.07469651215749,1,0.511118204830139
1.5,1.67212728467096,1.55941589301404,1.55941589301404,0,1.0824700143452,1,0.559415893014036
1.6,1.54421265173885,1.57076904556251,1.57076904556251,0,1.08086971808809,1,0.570769045562507
1.7,1.38721279516883,1.54596302232087,1.54596302232087,0,1.08151395514342,1,0.545963022320871
1.8,1.21168183861773,1.48790607629042,1.48790607629042,0,1.07002057033957,1,0.48790607629042
1.9,1.0289610817868,1.40139647120228,1.40139647120228,0,1.05931607137674,1,0.401396471202284
2,0.850459669425253,1.29277826975072,1.29277826975072,0,1.07116177410599,1,0.292778269750717
2.1,0.686954694160967,1.16951128024269,1.16951128024269,0,1.0727129679677,1,0.169511280242692
2.2,0.547952894980191,1.03968487927715,1.03968487927715,0,1.06672352280099,1,0.0396848792771525
2.3,0.441150964348891,0.911507744808994,0.911507744808994,0,1.06107179851311,1,-0.088492255191006
2.4,0.37202423358252,0.792805848663677,0.792805848663677,0,1.07168914748636,1,-0.207194151336323
2.5,0.343564679731161,0.690559408992748,0.690559408992748,0,1.07312689624277,1,-0.309440591007252
2.6,0.356179379582623,0.61050605060869,0.61050605060869,0,1.08026167797951,1,-0.38949394939131
2.7,0.407750360250135,0.556832430376341,0.556832430376341,0,1.08622848663887,1,-0.443167569623659
2.8,0.493846895229975,0.53197040803147,0.53197040803147,0,1.09579067634172,1,-0.46802959196853
2.9,0.608072266177685,0.536506893894067,0.536506893894067,0,1.10179553657363,1,-0.463493106105933
3,0.742519377477653,0.569209232153525,0.569209232153525,0,1.09038172934985,1,-0.430790767846475
3.1,0.888303793992042,0.627160835518593,0.627160835518593,0,1.09613213958681,1,-0.372839164481407
