compassSystemFullSystemErrorCrossCorrelation,compassFilterFullSystemErrorCrossCorrelation,fullSystemFullSystemErrorCrossCorrelation,gyroFilterFullSystemErrorCrossCorrelation,gyroSystemFullSystemErrorCrossCorrelation,compassSystemErrorsAutoCorrelation,compassFilterErrorsAutoCorrelation,fullSystemErrorsAutoCorrelation,gyroSystemErrorsAutoCorrelation,gyroFilterErrorsAutoCorrelation
-4.43486940293085e-12,-9.85526533984633e-13,-3.94210613593853e-12,0,0,-2.9565796019539e-12,-8.62335717236554e-13,-6.77549492114435e-13,-9.23931125610594e-14,5.17401430341933e-12
0.000426539949205502,0.000428690136503921,0.000429026928370592,3.36794700059626e-07,0.000381936213721043,-4.25225675657943e-06,-2.10206865742014e-06,-1.76527469650542e-06,-4.88559854347456e-05,-0.000430455409660541
0.00127675214772502,0.00128368586153975,0.00128827438931222,4.58853399361331e-06,0.00114725102453675,-1.67858052663702e-05,-9.8520919444069e-06,-5.26355443985532e-06,-0.000146286917182681,-0.00128894940747944
0.00241955609489528,0.00243393149936483,0.00244571455956373,1.17830601988961e-05,0.00217817579371431,-3.5960429530374e-05,-2.15850296188836e-05,-9.80197188380376e-06,-0.000277340736532111,-0.00244373347186459
0.00346502511165839,0.00348778845614226,0.00349167447300657,3.88601698750068e-06,0.00310806758460347,-4.03883494929504e-05,-1.76250069801297e-05,-1.37389906085831e-05,-0.000397345872112998,-0.0035015274420696
0.00428528659607446,0.00431665175658449,0.00431664357375768,-8.1804861861562e-09,0.00384145259398908,-4.77579519615839e-05,-1.63927971183386e-05,-1.64009789596238e-05,-0.000491591953369419,-0.00433305273246434
0.00491885704594472,0.0049586192519951,0.00494432590271115,-1.42933494071402e-05,0.00439775293180473,-4.32731228924933e-05,-3.51091930593448e-06,-1.78042683435023e-05,-0.000564377235061435,-0.00497642351984584
0.00576715995188034,0.00581667792426531,0.00579464678214025,-2.20311432337714e-05,0.00515262597935304,-4.70610866421666e-05,2.4568801992154e-06,-1.95742647592274e-05,-0.000661595062711202,-0.00583625218964049
0.00666941873231538,0.00672918006127316,0.00669794570477236,-3.12343548377237e-05,0.00595423859105539,-4.97433872494314e-05,1.00179447265214e-05,-2.12164115278967e-05,-0.000764923524875292,-0.00675039647304744
0.00738347423676815,0.00745273099266111,0.0074256689450334,-2.70620383268035e-05,0.00660057003713316,-6.38401892501861e-05,5.41656125317175e-06,-2.16454791062802e-05,-0.000846744386205775,-0.00747437646499189
0.00885853474693639,0.0089407648590625,0.00892448089869013,-1.62839521185825e-05,0.00793375912708817,-9.10198647977301e-05,-8.78975963190434e-06,-2.50737122432501e-05,-0.00101579548495393,-0.0089658385665013
0.0104849717850802,0.0105813895960747,0.0106048376846408,2.34480930625328e-05,0.00943162853597964,-0.000148953032241297,-5.25352325802915e-05,-2.90871398257358e-05,-0.00120229628660825,-0.0106104767304801
0.0122250985196501,0.0123373026957134,0.0123900244554515,5.27217654048135e-05,0.0110214741062866,-0.00019831652137101,-8.61123492497773e-05,-3.33905854464445e-05,-0.00140194093313305,-0.0123706932790656
0.0140372209029184,0.0141662854329244,0.0141923515451333,2.6066113687145e-05,0.0126204720599744,-0.000193086910312847,-6.40223859735425e-05,-3.79562715472525e-05,-0.00160983575501223,-0.014204241702747
0.0159269762082548,0.0160745111360614,0.0161078057577094,3.32946269452651e-05,0.0143235170587937,-0.000223223561490024,-7.56886334370368e-05,-4.23940050750774e-05,-0.00182668270429882,-0.0161169051375023
0.0178487596757434,0.0180157240076119,0.0180277257049013,1.20017009851321e-05,0.0160265418395361,-0.000224946803911022,-5.79824809122969e-05,-4.59807807895005e-05,-0.00204716464706325,-0.0180617047843361
0.0200244056504397,0.0202122153167332,0.0202097213920699,-2.49391406892784e-06,0.0179631358219518,-0.000235061517980679,-4.72518546437776e-05,-4.97457679735605e-05,-0.00229633134623765,-0.0202619610812574
0.0224196536220098,0.0226279586484587,0.0226171841342298,-1.0774506837445e-05,0.020100094999369,-0.000250635847015671,-4.2330825740777e-05,-5.3105332054661e-05,-0.00257019447199705,-0.0226810639800514
0.0248738384268508,0.0250998076603368,0.0251125499749034,1.27423140737746e-05,0.0223170710914822,-0.000293397191892225,-6.74279613627328e-05,-5.46856482436871e-05,-0.00285016452630602,-0.0251544933029446
0.0274758536329187,0.0277161599545882,0.0277539086089563,3.77486512882921e-05,0.0246638629299702,-0.00033448843048915,-9.41821036456281e-05,-5.6433454020412e-05,-0.00314647912774013,-0.0277725934055905
0.0305843492501745,0.0308390658619819,0.0308832179084814,4.4152050934456e-05,0.0274445602039575,-0.000360698069608401,-0.000105981454844513,-6.18294059119074e-05,-0.00350048710809523,-0.0309008952639209
0.0337553391637152,0.0340247609876786,0.0340587428815308,3.39818888013719e-05,0.0302658085597965,-0.000372154481226095,-0.000102732657016349,-6.87507686153468e-05,-0.00386168509010329,-0.0340935117582342
0.0369754392427033,0.0372600051621222,0.0372508822506658,-9.12291096355865e-06,0.0330974244576677,-0.000350354823269068,-6.57889002776414e-05,-7.49118111796046e-05,-0.00422836960467052,-0.0373349169744721
0.0403653394647692,0.0406639454413265,0.0406424422206347,-2.15032226627781e-05,0.0361075193552231,-0.000356235822278356,-5.76298415325779e-05,-7.9133066074016e-05,-0.00461405593096205,-0.040743078503058
0.0435748579251585,0.0438841386592242,0.043878183151206,-5.95550580078332e-06,0.0389810984146106,-0.000384736646006189,-7.54559124332099e-05,-8.14114209133935e-05,-0.00497849615812474,-0.0439655500745016
0.0468713482856632,0.0471888185114102,0.0471297239648208,-5.90945473285737e-05,0.0418621542971956,-0.000342789579493304,-2.53193531303652e-05,-8.44138983030996e-05,-0.00535198356475799,-0.0472732324133474
0.0505082391912029,0.0508325220327134,0.0507843092404227,-4.82127841601454e-05,0.0451094320822487,-0.000365021603709215,-4.07387699596781e-05,-8.89515568377209e-05,-0.00576382871894609,-0.0509214735846158
0.0543508219251794,0.0546798143629477,0.054694620697764,1.48063279175885e-05,0.0485892122571982,-0.000436978590078455,-0.000107986158469603,-9.31798306444078e-05,-0.00619858826543562,-0.0547729941861083
0.0583436755197389,0.0586743142716981,0.0586852662679222,1.09520011517421e-05,0.0521326268091798,-0.000439007399682567,-0.000108368650433563,-9.74166500671624e-05,-0.0066500561057144,-0.0587717309153131
0.0624772560965053,0.0628079258802312,0.0628346644065998,2.67385256294378e-05,0.0558213578936245,-0.00046142238209507,-0.000130752603419953,-0.00010401407960758,-0.00711732058733192,-0.0629119399553116
0.0667189824843296,0.067049021099906,0.0670972337576723,4.8212663433145e-05,0.0596124403134343,-0.000490301548596964,-0.000160262946818004,-0.000112050282953691,-0.00759684372281843,-0.0671610713761458
0.0711721544065291,0.0715014690809228,0.0714980922003705,-3.37688523349623e-06,0.0635184140885791,-0.000446371568943418,-0.00011705689220911,-0.000120433780861151,-0.0081001118887259,-0.0716219028595973
0.0759074221764292,0.0762347935940381,0.076216780479071,-1.80131122568455e-05,0.0677103513023919,-0.000437882456376597,-0.000110511048869402,-0.000128524162296561,-0.00863495333614222,-0.0763633177467873
0.0809127328119108,0.0812370025248528,0.0812271936702981,-9.80885246049159e-06,0.0721647640148168,-0.000452074186541337,-0.000127804468302105,-0.000137613324889489,-0.0092000429811099,-0.0813746158477096
0.0861240635966025,0.0864441486711185,0.0864262167980313,-1.79318681595817e-05,0.0767851119289401,-0.000448971661177301,-0.000128886595407806,-0.000146818466185193,-0.00978792333453721,-0.0865909671319757
0.0912765300266011,0.0915905706155749,0.0915906649836827,9.43713106964e-08,0.0813783749652209,-0.000470491782540367,-0.000156451198001387,-0.000156356829123709,-0.0103686468464768,-0.0917469274388163
0.0967112375620418,0.0970167998943931,0.0970542707657885,3.74708716417589e-05,0.0862394972177094,-0.000509094699500276,-0.000203532363391585,-0.000166061492550566,-0.0109808350403217,-0.0971828613876212
0.102022735201926,0.102314728568308,0.102357382827966,4.26542583025164e-05,0.0909539546856962,-0.000509109495733692,-0.000217116131846394,-0.000174461874344618,-0.0115778900096538,-0.102489190437047
0.107684803684119,0.10796263310701,0.107966455782236,3.82267904502374e-06,0.0959371734696327,-0.000467253816357158,-0.000189424393373349,-0.000185601714913482,-0.0122148840310281,-0.108148234822447
0.113305542215941,0.113569132822921,0.113533710970213,-3.54218528305412e-05,0.10088499759043,-0.000426588066676188,-0.000162997458711582,-0.00019841931480668,-0.0128471326900778,-0.113767552138774
0.11905016004103,0.1193023312795,0.119242575103861,-5.97561694799908e-05,0.10596092276216,-0.000404358414745835,-0.000152187183420494,-0.000211943357643331,-0.013493595699898,-0.119514274636589
0.124983471009644,0.125225005428573,0.125082283485533,-0.000142721942423907,0.111146987737625,-0.00032486477287772,-8.3330359615425e-05,-0.000226052304256767,-0.0141613480481461,-0.125451057729011
0.130895363248727,0.131125475153593,0.131046144453878,-7.93306994690466e-05,0.116458876892215,-0.000389591972565367,-0.000159480068684807,-0.00023881077061767,-0.0148260783332045,-0.131364285921254
0.136556809460596,0.136771735809645,0.136697099924275,-7.46358863556038e-05,0.121486122110888,-0.000390684252319039,-0.000175757905734437,-0.000250393796278528,-0.0154613716055691,-0.137022129605431
0.142711461090271,0.142912047096681,0.142866366430033,-4.56806671406542e-05,0.126978735826791,-0.00041990710740229,-0.000219321099390823,-0.000265001768256148,-0.0161526323658311,-0.143177048866662
0.14883186031877,0.149017703570438,0.149003976093674,-1.37274786731396e-05,0.132444759957965,-0.000452674952429281,-0.000266831705750769,-0.000280559185286245,-0.0168397753141271,-0.149298262751474
0.15506320982659,0.155234238101544,0.155203296392959,-3.09417071067309e-05,0.137960153376122,-0.000436117038840339,-0.000265088764625409,-0.000296030473826384,-0.0175391734869678,-0.155530268580175
0.161378606600027,0.161536574976521,0.161464757766949,-7.18172112351688e-05,0.143528136599158,-0.000397665249972195,-0.000239696874524708,-0.00031151408625264,-0.0182481352510559,-0.161848089063205
0.167645195624471,0.167790947787318,0.167713406386357,-7.75414001610544e-05,0.149088312585951,-0.000394489267402422,-0.000248737109667331,-0.000326278511676247,-0.0189513723117271,-0.168117226298255
0.174391830523089,0.174528250494657,0.174391851291829,-0.000136399203320108,0.155025737705054,-0.000343027407372439,-0.000206607436051681,-0.000343006641404437,-0.0197091202278715,-0.174871257136985
0.181357289883973,0.181485936502839,0.181343920715153,-0.000142015778168878,0.161213205379764,-0.000347355494975413,-0.000218708880452646,-0.000360724660500184,-0.0204914399949346,-0.181846661159581
0.188342615550078,0.188465582516177,0.188337560011833,-0.000128022503728668,0.167440985416668,-0.000374320804796837,-0.000251353847197991,-0.000379376351080648,-0.0212759509437506,-0.188844958863039
0.195491226236262,0.19560957491526,0.195476710973751,-0.000132863934117335,0.173794758357305,-0.000382363421241285,-0.000264014743229069,-0.000396878679440648,-0.0220788312964104,-0.196006453589834
0.203201897041971,0.203317913110245,0.203203375110767,-0.000114537996767217,0.180673675614079,-0.000417334612991129,-0.000301318551615748,-0.000415856547520629,-0.0229455560402053,-0.203733769654008
0.211090107294411,0.211205832630694,0.211105494230749,-0.000100338394462905,0.187707970617093,-0.000450227202887021,-0.000334501877505943,-0.000434840269689818,-0.0238323638823608,-0.211640672895949
0.2188686978067,0.218985248899898,0.218855347784936,-0.000129901117857092,0.19460246283019,-0.000439884044013168,-0.000323332948659463,-0.000453234067810059,-0.0247061190232339,-0.219438482969063
0.22668385231897,0.226801459844749,0.226594961960381,-0.000206497877037951,0.20148372457821,-0.000383565107005693,-0.000265957588802964,-0.000472455466949632,-0.0255836928527551,-0.227273915307202
0.234601404705139,0.234725142294842,0.234486359653492,-0.000238782638516376,0.208506135611731,-0.000377793478528186,-0.000254055883528458,-0.000492838523861898,-0.0264730625681175,-0.235217980819473
0.242711806026282,0.242846246526722,0.242612316170165,-0.000233930352306555,0.21574007893331,-0.000412747687684796,-0.000278307195437491,-0.000512237546142565,-0.0273844747799178,-0.243358484066027
0.251107150385348,0.25125747042235,0.250972336322493,-0.000285134100843044,0.223176862246717,-0.000398091290382639,-0.000247771261634414,-0.000532905361738312,-0.0283283794340037,-0.25179037578298
0.2594767081688,0.2596455491382,0.259393445614272,-0.000252103519000152,0.230675902176481,-0.000468419399358845,-0.00029957843747325,-0.000551681957212548,-0.0292692253968516,-0.260197231096398
0.268046954073869,0.26823717988005,0.268024991291314,-0.000212188587873859,0.238361511865099,-0.00054737920404742,-0.0003571534024246,-0.000569341989551614,-0.0302328214103543,-0.26880652186462
0.276733465237967,0.276945731349698,0.276720993814093,-0.000224737534989361,0.246098301866185,-0.000574173594002055,-0.000361907477465966,-0.000586645009991511,-0.0312093369567289,-0.277532376357657
0.285559100085111,0.285797240893528,0.285603481757814,-0.000193759133034046,0.254006947558521,-0.0006496501257446,-0.000411509320622793,-0.000605268455412308,-0.0322018026470985,-0.286402509345799
0.294555390400014,0.294823591120938,0.29462830654577,-0.000195284573134606,0.262038092647566,-0.000696486700326204,-0.00042828597897102,-0.000623570550827521,-0.033213784446707,-0.295447161669409
0.303679428823174,0.303979540926284,0.303756062180375,-0.000223478746832048,0.270155615910454,-0.000716236164478004,-0.000416124063154692,-0.00063960281066429,-0.0342400490800313,-0.304619143735377
0.312794889277586,0.313125701250001,0.312956717830132,-0.000168983418267792,0.278345529631115,-0.000815339324990948,-0.000484527357504087,-0.000653510776310839,-0.0352646989763897,-0.313779212022354
0.322037284688842,0.32239879696099,0.322204789471512,-0.000194007493112059,0.286569129660105,-0.000834872040937029,-0.000473359767741785,-0.000667367262578515,-0.0363030270687194,-0.323066164220858
0.331312017538462,0.33170386901416,0.33146927088164,-0.000234598132274138,0.29480605923482,-0.000838183938826203,-0.000446332462634596,-0.000680930597002978,-0.0373441422407124,-0.33238479961412
0.340845134818345,0.341267057892632,0.341027454449426,-0.00023960344414547,0.303306706490182,-0.000875723139116807,-0.000453800067216868,-0.000693403512286269,-0.0384141514636761,-0.341960461401422
0.350822463428858,0.351274670623292,0.351066791903346,-0.000207878723395643,0.312237466117318,-0.000949261733084405,-0.000497054548628589,-0.00070493327097711,-0.0395342590507685,-0.351979603893468
0.360944558365921,0.361425163989801,0.361186610367248,-0.000238553623338698,0.321232692850015,-0.000958426069239125,-0.000477820440693192,-0.000716374064925023,-0.0406702915820042,-0.362141538049875
0.371477367435508,0.371987069553786,0.371734875974753,-0.000252193582081606,0.330613304997878,-0.000989060193884172,-0.000479358077423755,-0.000731551661691998,-0.041853122639075,-0.3727186212148
0.38255357467668,0.383093271780052,0.382804851812463,-0.000288419973933034,0.340455110301633,-0.000998920945773423,-0.000459223836118346,-0.00074764381193004,-0.0430973853190336,-0.383840915592444
0.393945196849447,0.394513944884092,0.394210549561238,-0.000303395317187385,0.35059587870079,-0.00102737598815962,-0.000458627961644972,-0.000762023280095063,-0.0443766941358311,-0.395275968154239
0.405729636021707,0.406325807866441,0.406014246367184,-0.0003115615105286,0.361091066370398,-0.00106118338135756,-0.000465011531634936,-0.000776573042502311,-0.0456997530320665,-0.407102380912731
0.41741785749931,0.418038637890658,0.417700583903641,-0.000338053984675931,0.371479284834787,-0.00107187744138871,-0.000451097053244079,-0.000789151038443571,-0.0470104501056195,-0.418827788920078
0.429023215266575,0.429666988801448,0.429276571569166,-0.000390417233020777,0.381766417030881,-0.00105409548672103,-0.000410321952095107,-0.000800739185608647,-0.048310893717873,-0.430467727983977
0.440668153482435,0.441333905633825,0.440938301589439,-0.000395604048328346,0.39213459913338,-0.00108148482056561,-0.000415732669668696,-0.000811336718520603,-0.0496150391662023,-0.442145242347264
0.452272219129064,0.452956948235197,0.452575169828666,-0.000381778409241369,0.4024806970436,-0.00112179919828478,-0.000437070090550358,-0.000818848501947565,-0.0509133212810392,-0.453775796734743
0.463779252917363,0.46447675011919,0.464066217712339,-0.000410532403402228,0.41269163055784,-0.00111165728479151,-0.000414160087399145,-0.000824692490093026,-0.0521992796467785,-0.465301442606419
0.475460114419243,0.47616813006015,0.475784071256954,-0.00038405880159526,0.42311181220837,-0.00115657024166828,-0.000448554596080193,-0.000832613400508842,-0.0535048724478911,-0.477000743458935
