signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals
compassSystem,1.48020943091288,-1.22538599484098,0.0418282019073287,0.843815305044876,0.712024269027977,1.54682612428224,-0.0348534649865273,0,0.711581743068357,-0.0209210345040149,0.783233207002231
compassFilter,1.48021273960859,-1.22529166088308,0.0417300158504357,0.843742164849106,0.711900840744256,1.54710006154114,-0.0346375850471912,0,0.711458391495813,-0.0207860450570291,0.783100345712466
fullSystem,1.47924680227206,-1.22544628347896,0.0419190449810661,0.843642647695578,0.711732917010804,1.54673378150633,-0.0349843513269707,0,0.71129057212764,-0.0209867120711698,0.782545639001007
gyroFilter,0.0035345575006111,-0.00334253663648852,0.000189029130630378,0.00196844643695197,3.8747813751489e-06,1.59565178292883,-0.0997761579703193,0,3.872373182871e-06,-7.60313291236025e-10,2.39272358011826e-11
gyroSystem,1.97439419803526,-0.875123467125438,0.514445325103403,0.762905789009019,0.582025242903473,1.9095139684147,0.0172637440978638,0,0.581663511863757,0.00765848244880301,0.646050522121653
input,0.999999966172673,-0.999990206550703,0.0459512740335383,0.709883394785098,0.503934434191615,1.5119439472843,-0.112037406579287,0,0.503621236904983,-0.0400423078570785,0.383480920701569
error,0.524811569688699,-0.375358198188434,-0.00403222905247221,0.169917585913192,0.028871986002567,2.6735323778171,0.227448384334666,0,0.0288540419466301,0.00111478943555925,0.00222586471829224
