signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals
compassSystem,1.49932052719612,-1.250299232252,0.0563214545959186,0.850147883786731,0.722751424307057,1.54187710980804,-0.0504730234404802,0,0.721572384463163,-0.030937069745088,0.802804075851165
compassFilter,1.49668896575407,-1.24912317631796,0.0565578523566414,0.848534613180183,0.720010989764843,1.54506179060602,-0.0497621295552951,0,0.718836420450381,-0.0303280206353358,0.798373288820629
fullSystem,1.48175989238637,-1.25286529062322,0.0575086669616778,0.847986510211879,0.71908112150132,1.53967105672685,-0.0516434757475095,0,0.717908069100829,-0.0314136727988548,0.793534138617308
gyroFilter,0.0497151910767837,-0.0465927668399658,0.000950814605036434,0.0281439846082341,0.000792083869628516,1.57204436147795,-0.00867681769910835,0,0.000790791726284913,-1.92953938752851e-07,9.83080384974167e-07
gyroSystem,1.97433942218086,-0.875123467125438,0.534571158612652,0.760811956232806,0.578834832746789,1.88690375253453,0.00994030604254448,0,0.57789056711425,0.00436684889108953,0.630145674201344
input,0.999994050695284,-0.999990206550703,0.0523154687054348,0.71118015412192,0.505777211616878,1.50358867996243,-0.11421139703601,0,0.504952126442952,-0.040981207631219,0.383380004593627
error,0.546215467195175,-0.370651081900326,0.00519319825624292,0.173502559294165,0.0301031380816254,2.82035434459169,0.228415904396696,0,0.0300540301891595,0.00119009167621914,0.00254747020020803
