signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals
compassSystem,1.79383886313533,0,0.976999447387093,0.248398945645531,0.0617020361978113,9.54983620260037,-1.23057706639108,0,0.0616620478399384,-0.0188423789066625,0.0363104649816251
compassFilter,1.79380964967809,0,0.9768948253168,0.248550814935132,0.061777507604918,9.54610168423816,-1.232782397366,0,0.0617374703349213,-0.0189107899292689,0.0363851120840934
fullSystem,1.79412025658607,0.00143796183728076,0.982437593676715,0.234244861986199,0.0548706553669335,9.52622336905812,-0.952148250424125,0,0.0548350943459569,-0.0122262273195587,0.02864428265585
gyroFilter,1,-0.000589080526636865,0.00554276835991107,0.0619015081083752,0.00383179670609124,185.763235484019,13.1364150914832,0,0.00382931336409118,0.00311285021854927,0.00272396536648966
gyroSystem,2.00387408140233,1,1.45997395605479,0.294303038217148,0.0866142783038438,1.86652516039058,0.237665800741091,0,0.0865581446173215,0.00605241363343344,0.013984589603347
input,1,1,1,0,0,NaN,NaN,0,0,0,0
error,0.794120256586069,-0.998562038162719,-0.0175624063232855,0.234244861986199,0.0548706553669335,9.52622336905812,-0.952148250424121,0,0.0548350943459569,-0.0122262273195586,0.0286442826558499
