time,compassSystem,compassFilter,fullSystem,gyroFilter,gyroSystem,input,error
0,0,0,1,1,1,1,0
0.000200950914520766,1.26188648701347e-07,1.28888691738158e-12,0.999996786946384,0.999996786945095,1.00002742886562,1,-3.21305361605795e-06
0.0012057054871246,4.54228090332388e-06,2.7836548036676e-10,0.999980723425668,0.999980723147303,1.00016457319373,1,-1.92765743315393e-05
0.00622947835014376,0.000121183657391246,3.83686643499814e-08,0.99990047943362,0.999900441064956,1.00085029483426,1,-9.95205663800736e-05
0.0313483426652396,0.003058761790548,4.87318843681969e-06,0.999504825047853,0.999499951859416,1.00427890303693,1,-0.000495174952147126
0.1,0.0307453846895733,0.00015643504635449,0.998569614355195,0.998413179308841,1.01364953510501,1,-0.00143038564480469
0.2,0.119753110088275,0.00122494206396074,0.992734988874607,0.991510046810646,1.02191792593133,1,-0.00726501112539313
0.3,0.259670188249958,0.00402163252798604,0.983257275819849,0.979235643291863,1.02466872747811,1,-0.0167427241801514
0.4,0.440271629945149,0.00921639176709302,0.979107668988112,0.969891277221019,1.03018479650579,1,-0.0208923310118883
0.5,0.649179800229509,0.0172969182537972,0.967583548127007,0.95028662987321,1.02521967115416,1,-0.0324164518729931
0.6,0.872691887288112,0.0285450790472535,0.98326878711669,0.954723708069436,1.04418109596163,1,-0.0167312128833103
0.7,1.09666127850956,0.043026623947916,0.985873620851821,0.942846996903905,1.04677169374144,1,-0.0141263791481789
0.8,1.30737718005797,0.0605944494414429,1.00899274403272,0.948398294591274,1.06674241157839,1,0.00899274403271688
0.9,1.49238874850348,0.0809047686701686,1.01955660969899,0.938651841028818,1.07138309686656,1,0.0195566096989868
1,1.64122515771098,0.103444775567067,1.03852761122309,0.935082835656027,1.08209982975347,1,0.0385276112230937
1.1,1.7459709803238,0.127569734701273,1.03613494909825,0.908565214396973,1.06963811436007,1,0.0361349490982461
1.2,1.80166644244784,0.152546919810383,1.04238934768623,0.889842427875849,1.06462646090324,1,0.0423893476862318
1.3,1.80651381719495,0.177603489679907,1.06833023062918,0.890726740949273,1.07908628210762,1,0.0683302306291798
1.4,1.76188369160354,0.20197524470502,1.07486631158264,0.872891066877616,1.07469651215749,1,0.074866311582636
1.5,1.67212728467096,0.22495325382486,1.09234955656449,0.867396302739626,1.0824700143452,1,0.0923495565644863
1.6,1.54421265173885,0.245925570436564,1.09860756807683,0.85268199764027,1.08086971808809,1,0.0986075680768341
1.7,1.38721279516883,0.26441164739133,1.10482951589225,0.840417868500925,1.08151395514342,1,0.104829515892255
1.8,1.21168183861773,0.280087585978229,1.096381365876,0.816293779897775,1.07002057033957,1,0.0963813658760038
1.9,1.0289610817868,0.292800975450825,1.08611863376384,0.793317658313015,1.05931607137674,1,0.0861186337638395
2,0.850459669425253,0.302574756957932,1.09564313114022,0.793068374182291,1.07116177410599,1,0.0956431311402228
2.1,0.686954694160967,0.309600235460822,1.09220667942284,0.782606443962013,1.0727129679677,1,0.0922066794228353
2.2,0.547952894980191,0.314220022771274,1.07903941649345,0.764819393722174,1.06672352280099,1,0.0790394164934485
2.3,0.441150964348891,0.316902284885222,1.0645389555658,0.747636670680576,1.06107179851311,1,0.0645389555657983
2.4,0.37202423358252,0.318208153513159,1.0650677861048,0.746859632591646,1.07168914748636,1,0.0650677861048046
2.5,0.343564679731161,0.318754518744412,1.0557389049192,0.736984386174784,1.07312689624277,1,0.0557389049191961
2.6,0.356179379582623,0.319174629546912,1.0520870269419,0.732912397394983,1.08026167797951,1,0.0520870269418952
2.7,0.407750360250135,0.320078983298009,1.04782189931001,0.727742916012001,1.08622848663887,1,0.0478218993100101
2.8,0.493846895229975,0.322018886523414,1.04823865774786,0.726219771224446,1.09579067634172,1,0.0482386577478606
2.9,0.608072266177685,0.325454827578203,1.04664415862303,0.721189331044832,1.10179553657363,1,0.0466441586230348
3,0.742519377477653,0.330731437569536,1.02967991738973,0.698948479820198,1.09038172934985,1,0.0296799173897344
3.1,0.888303793992042,0.338060354712867,1.03213856594173,0.694078211228862,1.09613213958681,1,0.0321385659417288
3.2,1.03613906831187,0.347511780898034,1.04423773091235,0.696725950014314,1.10938375776556,1,0.0442377309123478
