compassSystemErrorCrossCorrelation,compassFilterErrorCrossCorrelation,fullSystemErrorCrossCorrelation,gyroFilterErrorCrossCorrelation,gyroSystemErrorCrossCorrelation,errorAutoCorrelation
-4.54747350886464e-12,0,0,2.07884503262384e-12,0,5.19711258155959e-13
0.000846008892429901,0.000848914457102572,0.000826886243885383,-2.20282163354568e-05,0.000794955450276445,6.77990023437555e-06
0.00214722430798377,0.00214894034849879,0.00211625260583657,-3.26877457804845e-05,0.00203585842973553,1.6840690477693e-05
0.00399064484690825,0.00398488251916466,0.00390402728226036,-8.08552413218422e-05,0.00375622627325356,3.01909674038013e-05
0.00610298921076589,0.00607887029764242,0.00601351061985562,-6.53596822043515e-05,0.00578875752398744,4.56747127048272e-05
0.00885379712521431,0.00879988821439578,0.00872435858556335,-7.55296238302045e-05,0.0083994545254557,6.58231110719498e-05
0.0114182355661926,0.0113179416761601,0.0112544287611464,-6.35129183917473e-05,0.0108410828501552,8.04366884819631e-05
0.0142478958784652,0.0140905675445018,0.0139782239400249,-0.000112343606295846,0.0134713616654543,9.2522130996388e-05
0.0175258472798825,0.0173034824048435,0.017223685364505,-7.97970377399387e-05,0.0166116396992168,0.000103055311878312
0.0208539444096719,0.0205588238895871,0.0204423774100308,-0.000116446479036573,0.0197301224065346,0.000107089694730738
0.0246301347111252,0.0242611042548171,0.0241289456857235,-0.00013215857013295,0.0233064140006068,0.000108206830710904
0.0284563320123457,0.0280112190022399,0.0278801933496392,-0.000131025654939419,0.0269490717993384,0.000105852558980197
0.0323475073424301,0.0318284562007258,0.0316926354924882,-0.000135820708497444,0.0306558573398174,9.85227005522964e-05
0.0365349291553555,0.0359484260427832,0.0357808599157059,-0.000167566126557566,0.0346318687619974,8.88083626965194e-05
0.0411275873817171,0.040481558709871,0.0403177091461008,-0.000163849564549829,0.0390436225861777,7.96343769512272e-05
0.045896627196011,0.0452000581967046,0.0450454858988191,-0.000154572302562883,0.0436440957377532,6.67284839437343e-05
0.0508227561825022,0.0500863911999789,0.0499353686131404,-0.000151022581121651,0.0484035366243916,5.19691649450189e-05
0.0559078623939838,0.0551426104294868,0.0550391743225711,-0.000103436106396007,0.0533700328253742,3.92360094078218e-05
0.0610945416348321,0.0603101257916673,0.0602265616097221,-8.35641759684742e-05,0.0584155972943076,2.71611679636408e-05
0.0665061098656484,0.0657130519643293,0.0656330008891278,-8.00510701342968e-05,0.063671241886498,1.73241954014104e-05
0.0721585608885757,0.0713635930317521,0.07128893414795,-7.46588928970076e-05,0.0691647847665341,1.1504595542127e-05
