compassSystemErrorCrossCorrelation,compassFilterErrorCrossCorrelation,fullSystemErrorCrossCorrelation,gyroFilterErrorCrossCorrelation,gyroSystemErrorCrossCorrelation,errorAutoCorrelation
5.61416482575882e-16,1.68424944772764e-15,-1.12283296515176e-15,2.24566593030353e-15,2.24566593030353e-15,9.82478844507793e-16
0.000184675451158528,0.000209640054286685,0.000182369839493181,-2.72702147951889e-05,0.000340379753673421,3.5068273588321e-05
0.00121565514747696,0.00137011316504262,0.00120280507180274,-0.00016730809323089,0.00223164465502392,0.000231586102067164
0.00430832796090401,0.00481667711535156,0.00427061611098008,-0.000546061004371619,0.00787341748505859,0.000822313023697326
0.00451761583904662,0.00483007478188865,0.00451996267885741,-0.000310112103027587,0.00805488999878974,0.000868749586738662
-0.0206261075668554,-0.023929191508028,-0.0202970187367123,0.0036321727713094,-0.0384842978405271,-0.00392786357076237
-0.0901739278025801,-0.101732427649737,-0.0892996725325764,0.0124327551171657,-0.165610173142975,-0.0172740189201468
-0.209819558717045,-0.232782655391718,-0.20843109345723,0.0243515619344957,-0.38171709353756,-0.0402083561906517
-0.39062582192609,-0.427262792030303,-0.388729409200783,0.0385333828295267,-0.705074671033355,-0.0745624254779441
-0.608257326241045,-0.65478011979882,-0.606327441297596,0.0484526785012304,-1.08867908217875,-0.115432692796473
-0.869462731955621,-0.921761654839462,-0.86750933664112,0.0542523181983425,-1.54446258086252,-0.163517851375274
-1.14621328721715,-1.1948990438151,-1.14415072136326,0.0507483224518349,-2.02021974232368,-0.212805283311345
-1.43608355728912,-1.47157282373562,-1.43316585496413,0.0384069687715017,-2.51289300470665,-0.262158793585078
-1.71434718865832,-1.72396725097338,-1.70949728351994,0.0144699674534431,-2.97865916580974,-0.306277487765484
-1.98005089437415,-1.95255489570132,-1.97147431612321,-0.0189194204218857,-3.41900969321299,-0.344494558302827
-2.20422976718833,-2.12593108676239,-2.19006300836539,-0.0641319216029949,-3.78391661958014,-0.371111636620194
-2.35099104913753,-2.20625185201566,-2.32932893440794,-0.12307708239228,-4.01198808633079,-0.379286212634698
-2.42130146759941,-2.19919112178138,-2.38962562353666,-0.190434501755276,-4.11118780639815,-0.36933542316063
-2.39162084434596,-2.08216681372618,-2.34833610841028,-0.266169294684093,-4.04430367512339,-0.338087389300485
-2.26232796117791,-1.86065929290799,-2.20577043401393,-0.345111141105936,-3.81776714217069,-0.286369008612448
-2.02788376546225,-1.53298541468601,-1.9574640362629,-0.424478621576888,-3.42672453092217,-0.214885877403642
-1.70012036582515,-1.11708905997891,-1.61541843887239,-0.498329378893465,-2.89661021154718,-0.126943335987561
-1.28377720477183,-0.621848856079411,-1.18594267909659,-0.564093823017184,-2.23897552992701,-0.0256525113389954
