signalsNamesOrdered,maxSignals,minSignals,meanSignals,standardDeviationSignals,varianceSignals,kurtosisSignals,skewnessSignals,firstMomentSignals,secondMomentSignals,thirdMomentSignals,fourthMomentSignals,rmsSignals,powerSignals,maxCorrelationSignals,meanCorrelationSignals
compassSystem,1.4993202911593,-1.24985695546501,0.0440825082266576,0.845233509268753,0.714419685190771,1.54616580163167,-0.0323070825103634,0,0.712651319633368,-0.0194362904922654,0.785254168608289,0.84533696663811,0.0210303919575128,46.4654355448829,0.0835839291825189
compassFilter,1.33687260134275,-1.15052087837777,0.0343450814782301,0.784596137377669,0.615591098787958,1.55438395143296,-0.0312765168911979,0,0.614067358444423,-0.0150502044839495,0.586125111893697,0.784376786414648,0.0212889143366333,43.1301377312969,0.0651209963662692
fullSystem,1.28886545626138,-1.20901567229568,0.0516619735009804,0.811414583691753,0.658393626627661,1.52009845907534,-0.0520227075221729,0,0.656763939433038,-0.027688976334591,0.655677554878705,0.812054738880979,0.0209435889017601,43.3773219373305,0.0979551960231662
gyroFilter,0.376582573855661,-0.369149287618313,0.0173168920227504,0.245752346069929,0.0603942155988744,1.54052608728843,-0.0822963212683112,0,0.0602447249662039,-0.00121691140479913,0.00559122680017959,0.246058122636769,0.0210551628494176,43.3773219373305,0.0979551960231662
gyroSystem,1.97416250432093,-0.875123467125439,0.531164794221274,0.75977248778591,0.57725423319639,1.89729363460446,0.00998996285194805,0,0.575825386084518,0.00436515917145797,0.629094900224397,0.926262071286872,0.00440782231249487,12.8620208871041,0.0328341996568969
input,0.999993742857021,-0.999990206550703,0.0422870595489655,0.708042703169135,0.501324469511056,1.5118490514488,-0.0918023227153593,0,0.500083567358801,-0.032465159843264,0.378088614652339,0.708429080970071,0.0205753187727564,39.5806069546619,1.00713054520773
error,0.426890234163789,-0.28829154811346,0.00937491395201496,0.149419363675486,0.022326146241187,2.21046212835578,0.194535913141416,0,0.0222708835029663,0.000646555718379952,0.00109637208900985,0.14952850067654,0.0237244719261517,9.03294409588788,0.0177755798247335
